date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,8.4,8.75,8.2,8.4,365509
2024-06-04 00:00:00+05:30,8.5,8.6,8.0,8.05,209332
2024-06-05 00:00:00+05:30,8.1,8.4,7.7,8.2,127007
2024-06-06 00:00:00+05:30,8.2,8.6,8.05,8.55,155834
2024-06-07 00:00:00+05:30,8.7,8.9,8.3,8.65,120132
2024-06-10 00:00:00+05:30,8.8,8.85,8.25,8.43,146882
2024-06-11 00:00:00+05:30,8.5,8.85,8.43,8.79,209830
2024-06-12 00:00:00+05:30,9.09,9.09,8.65,8.82,259552
2024-06-13 00:00:00+05:30,8.98,9.17,8.66,8.99,150942
2024-06-14 00:00:00+05:30,9.11,9.4,8.8,9.36,322849
2024-06-18 00:00:00+05:30,9.5,9.78,9.0,9.48,273652
2024-06-19 00:00:00+05:30,9.55,9.55,9.1,9.14,122103
2024-06-20 00:00:00+05:30,9.14,9.45,9.01,9.29,116464
2024-06-21 00:00:00+05:30,9.12,9.5,9.06,9.19,185307
2024-06-24 00:00:00+05:30,9.33,9.33,9.0,9.07,77791
2024-06-25 00:00:00+05:30,9.02,9.24,8.8,8.88,164066
2024-06-26 00:00:00+05:30,8.8,9.15,8.8,9.05,177971
2024-06-27 00:00:00+05:30,9.05,9.17,8.75,8.92,148038
2024-06-28 00:00:00+05:30,8.9,9.05,8.71,8.84,84657
2024-07-01 00:00:00+05:30,9.0,9.09,8.85,8.97,145224
2024-07-02 00:00:00+05:30,9.08,9.24,8.9,9.01,166557
2024-07-03 00:00:00+05:30,9.2,9.4,9.01,9.27,223420
2024-07-04 00:00:00+05:30,9.37,9.54,8.9,9.22,292565
2024-07-05 00:00:00+05:30,9.2,9.35,9.01,9.23,215988
2024-07-08 00:00:00+05:30,9.23,9.58,9.07,9.17,137828
2024-07-09 00:00:00+05:30,9.35,9.35,8.99,9.0,271816
2024-07-10 00:00:00+05:30,9.23,9.23,8.85,8.99,181127
2024-07-11 00:00:00+05:30,8.99,9.15,8.85,8.93,120158
2024-07-12 00:00:00+05:30,8.86,9.0,8.8,8.82,119040
2024-07-15 00:00:00+05:30,8.83,9.15,8.46,8.99,220213
2024-07-16 00:00:00+05:30,9.08,9.08,8.7,8.82,235050
2024-07-18 00:00:00+05:30,8.89,8.99,8.5,8.87,137445
2024-07-19 00:00:00+05:30,8.9,8.97,8.7,8.76,152064
2024-07-22 00:00:00+05:30,8.7,8.9,8.36,8.47,155346
2024-07-23 00:00:00+05:30,8.49,8.54,8.3,8.46,62029
2024-07-24 00:00:00+05:30,8.49,8.75,8.36,8.63,133105
2024-07-25 00:00:00+05:30,8.7,8.9,8.3,8.83,174911
2024-07-26 00:00:00+05:30,8.95,9.2,8.5,9.07,358686
2024-07-29 00:00:00+05:30,9.29,9.37,8.9,9.21,302682
2024-07-30 00:00:00+05:30,9.34,9.34,8.95,8.99,140631
2024-07-31 00:00:00+05:30,8.99,9.4,8.9,9.04,283928
2024-08-01 00:00:00+05:30,9.29,9.29,8.72,8.74,169913
2024-08-02 00:00:00+05:30,8.87,8.99,8.6,8.79,60040
2024-08-05 00:00:00+05:30,8.69,8.69,8.01,8.28,377382
2024-08-06 00:00:00+05:30,8.4,9.1,8.29,9.1,1168746
2024-08-07 00:00:00+05:30,9.1,9.4,8.85,8.99,602080
2024-08-08 00:00:00+05:30,9.0,9.19,8.53,8.66,385788
2024-08-09 00:00:00+05:30,8.95,8.95,8.61,8.67,313576
2024-08-12 00:00:00+05:30,8.66,8.9,8.65,8.71,201901
2024-08-13 00:00:00+05:30,8.85,9.09,8.75,8.92,317017
2024-08-14 00:00:00+05:30,8.97,8.97,8.65,8.68,249847
2024-08-16 00:00:00+05:30,8.72,8.95,8.67,8.71,118250
2024-08-19 00:00:00+05:30,8.65,8.87,8.65,8.76,100448
2024-08-20 00:00:00+05:30,8.77,8.93,8.72,8.77,104227
2024-08-21 00:00:00+05:30,8.77,8.88,8.65,8.72,231519
2024-08-22 00:00:00+05:30,8.79,8.88,8.7,8.77,130173
2024-08-23 00:00:00+05:30,8.77,8.88,8.75,8.81,141458
2024-08-26 00:00:00+05:30,9.05,9.69,9.0,9.69,811958
2024-08-27 00:00:00+05:30,10.44,10.65,10.15,10.65,646900
2024-08-28 00:00:00+05:30,10.9,11.3,10.12,10.2,1972700
2024-08-29 00:00:00+05:30,10.3,10.79,9.75,10.2,812638
2024-08-30 00:00:00+05:30,10.6,10.6,10.03,10.09,323629
2024-09-02 00:00:00+05:30,10.08,10.1,9.41,9.48,511546
2024-09-03 00:00:00+05:30,9.5,10.39,9.44,9.69,780921
2024-09-04 00:00:00+05:30,9.61,10.65,9.33,10.6,2578749
2024-09-05 00:00:00+05:30,10.66,10.8,10.2,10.25,1063148
2024-09-06 00:00:00+05:30,10.25,10.8,10.22,10.36,963564
2024-09-09 00:00:00+05:30,10.4,10.56,10.23,10.38,514666
2024-09-10 00:00:00+05:30,10.44,10.8,10.18,10.38,468070
2024-09-11 00:00:00+05:30,10.47,10.64,10.0,10.08,636185
2024-09-12 00:00:00+05:30,10.27,10.27,9.81,9.93,474990
2024-09-13 00:00:00+05:30,10.04,10.92,9.62,10.9,2664333
2024-09-16 00:00:00+05:30,10.9,11.88,10.89,11.5,1994044
2024-09-17 00:00:00+05:30,11.47,11.47,10.76,10.89,810328
2024-09-18 00:00:00+05:30,10.95,11.4,10.56,10.89,847487
2024-09-19 00:00:00+05:30,11.14,11.14,9.88,10.21,848719
2024-09-20 00:00:00+05:30,10.19,10.9,10.0,10.59,787611
2024-09-23 00:00:00+05:30,10.78,10.94,10.15,10.37,619322
2024-09-24 00:00:00+05:30,10.45,10.86,10.35,10.47,391524
2024-09-25 00:00:00+05:30,10.39,11.47,10.36,11.2,1814537
2024-09-26 00:00:00+05:30,11.25,12.25,11.18,11.93,4962797
2024-09-27 00:00:00+05:30,12.0,12.5,11.22,11.5,2688236
2024-09-30 00:00:00+05:30,11.5,11.76,10.5,10.9,1126290
2024-10-01 00:00:00+05:30,11.16,11.99,11.0,11.99,2334124
2024-10-03 00:00:00+05:30,11.65,13.18,11.46,13.15,7440732
2024-10-04 00:00:00+05:30,13.47,13.99,12.42,12.66,4319257
2024-10-07 00:00:00+05:30,12.7,13.24,11.39,11.72,2546082
2024-10-08 00:00:00+05:30,11.5,12.31,11.42,12.06,1540575
2024-10-09 00:00:00+05:30,12.5,12.78,12.05,12.19,832332
2024-10-10 00:00:00+05:30,12.7,12.74,12.05,12.11,520271
2024-10-11 00:00:00+05:30,12.4,12.57,12.0,12.09,288894
2024-10-14 00:00:00+05:30,12.0,12.95,12.0,12.06,380202
2024-10-15 00:00:00+05:30,12.06,12.19,11.8,11.85,388106
2024-10-16 00:00:00+05:30,11.85,11.95,11.5,11.73,624833
2024-10-17 00:00:00+05:30,11.83,12.7,11.05,11.21,1410641
2024-10-18 00:00:00+05:30,11.03,11.46,10.95,11.26,552256
2024-10-21 00:00:00+05:30,11.39,11.82,10.65,10.87,445125
2024-10-22 00:00:00+05:30,10.87,11.01,10.06,10.19,590007
2024-10-23 00:00:00+05:30,10.06,10.89,10.02,10.35,513720
2024-10-24 00:00:00+05:30,10.45,10.53,9.95,10.06,767985
2024-10-25 00:00:00+05:30,10.0,10.05,9.35,9.65,470980
2024-10-28 00:00:00+05:30,9.5,10.13,9.5,9.87,580282
2024-10-29 00:00:00+05:30,9.98,10.03,9.65,9.99,259174
2024-10-30 00:00:00+05:30,10.0,10.5,10.0,10.23,277611
2024-10-31 00:00:00+05:30,10.25,11.25,10.24,11.19,530539
2024-11-01 00:00:00+05:30,11.77,11.77,11.0,11.24,390213
2024-11-04 00:00:00+05:30,11.3,11.3,10.5,10.73,447780
2024-11-05 00:00:00+05:30,10.7,11.05,10.12,10.76,404083
2024-11-06 00:00:00+05:30,10.88,11.39,10.76,11.23,566047
2024-11-07 00:00:00+05:30,11.24,11.24,10.97,11.03,230103
2024-11-08 00:00:00+05:30,11.25,11.44,10.66,10.73,281923
2024-11-11 00:00:00+05:30,10.7,10.79,10.11,10.3,340922
2024-11-12 00:00:00+05:30,10.56,10.7,10.05,10.18,248783
