date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,308.0,308.0,282.85,285.6,70949
2024-06-04 00:00:00+05:30,285.8,285.8,263.3,279.3,95138
2024-06-05 00:00:00+05:30,283.4,288.3,271.95,286.55,28410
2024-06-06 00:00:00+05:30,285.25,294.85,285.25,290.95,31611
2024-06-07 00:00:00+05:30,291.95,299.0,290.95,295.8,50230
2024-06-10 00:00:00+05:30,298.35,300.0,295.0,296.9,38319
2024-06-11 00:00:00+05:30,303.0,316.0,295.75,307.8,226923
2024-06-12 00:00:00+05:30,308.1,314.0,305.5,306.75,107547
2024-06-13 00:00:00+05:30,307.0,312.0,305.55,310.7,105454
2024-06-14 00:00:00+05:30,311.0,320.0,308.0,315.55,194328
2024-06-18 00:00:00+05:30,315.65,320.0,311.65,315.95,91417
2024-06-19 00:00:00+05:30,316.0,320.7,311.8,315.85,118981
2024-06-20 00:00:00+05:30,316.8,320.7,315.2,316.1,78039
2024-06-21 00:00:00+05:30,320.0,338.0,318.8,323.85,854899
2024-06-24 00:00:00+05:30,325.05,353.0,325.05,343.7,1560238
2024-06-25 00:00:00+05:30,344.0,355.0,331.25,335.6,601632
2024-06-26 00:00:00+05:30,335.55,352.45,333.55,336.9,650558
2024-06-27 00:00:00+05:30,335.0,342.45,327.95,333.5,121715
2024-06-28 00:00:00+05:30,336.0,340.3,327.9,336.55,130995
2024-07-01 00:00:00+05:30,339.7,357.15,336.9,354.6,464400
2024-07-02 00:00:00+05:30,357.0,361.0,340.3,346.0,331414
2024-07-03 00:00:00+05:30,346.0,356.3,336.15,340.3,278263
2024-07-04 00:00:00+05:30,340.8,344.5,325.15,328.3,672758
2024-07-05 00:00:00+05:30,324.0,359.9,312.0,355.0,5693629
2024-07-08 00:00:00+05:30,368.0,389.0,366.3,373.9,3296300
2024-07-09 00:00:00+05:30,379.9,404.7,379.9,392.0,2738738
2024-07-10 00:00:00+05:30,396.05,409.4,384.3,391.45,1274797
2024-07-11 00:00:00+05:30,399.0,409.9,391.05,394.15,1256970
2024-07-12 00:00:00+05:30,400.0,406.0,385.0,386.7,652987
2024-07-15 00:00:00+05:30,389.45,394.9,379.05,381.95,211205
2024-07-16 00:00:00+05:30,385.4,389.45,370.4,372.45,225717
2024-07-18 00:00:00+05:30,373.8,376.45,362.45,364.25,236453
2024-07-19 00:00:00+05:30,369.7,369.7,343.2,345.8,340052
2024-07-22 00:00:00+05:30,344.0,359.4,341.7,351.7,263256
2024-07-23 00:00:00+05:30,354.9,358.25,330.9,347.65,257036
2024-07-24 00:00:00+05:30,348.0,361.55,347.15,357.6,208346
2024-07-25 00:00:00+05:30,354.3,370.15,347.75,368.95,347906
2024-07-26 00:00:00+05:30,369.95,371.5,360.1,361.2,120492
2024-07-29 00:00:00+05:30,364.35,374.7,359.15,368.05,202946
2024-07-30 00:00:00+05:30,368.7,389.8,358.65,383.45,715195
2024-07-31 00:00:00+05:30,383.45,391.75,377.0,377.9,300175
2024-08-01 00:00:00+05:30,384.8,384.8,366.6,378.95,360728
2024-08-02 00:00:00+05:30,367.05,377.3,367.05,370.95,159994
2024-08-05 00:00:00+05:30,360.6,367.65,350.3,355.05,243725
2024-08-06 00:00:00+05:30,359.0,366.45,350.1,354.05,195287
2024-08-07 00:00:00+05:30,356.25,374.7,354.25,372.55,159989
2024-08-08 00:00:00+05:30,371.5,373.4,353.95,361.0,305219
2024-08-09 00:00:00+05:30,364.9,384.0,364.9,380.45,229431
2024-08-12 00:00:00+05:30,381.45,405.5,379.9,399.75,1044192
2024-08-13 00:00:00+05:30,399.75,409.5,386.7,395.1,671300
2024-08-14 00:00:00+05:30,391.2,420.5,385.75,418.45,1346544
2024-08-16 00:00:00+05:30,423.9,424.2,400.0,403.45,557160
2024-08-19 00:00:00+05:30,407.8,422.95,405.95,408.85,403952
2024-08-20 00:00:00+05:30,411.65,413.95,400.75,403.2,164840
2024-08-21 00:00:00+05:30,404.7,424.8,401.0,418.15,589662
2024-08-22 00:00:00+05:30,421.0,428.5,410.35,413.75,650758
2024-08-23 00:00:00+05:30,412.25,418.0,405.1,410.1,182703
2024-08-26 00:00:00+05:30,410.1,420.2,406.05,410.2,217553
2024-08-27 00:00:00+05:30,411.0,414.0,403.2,405.4,113552
2024-08-28 00:00:00+05:30,405.4,412.4,397.3,399.7,149708
2024-08-29 00:00:00+05:30,399.0,403.5,384.2,389.45,311899
2024-08-30 00:00:00+05:30,391.75,396.8,387.0,389.15,116025
2024-09-02 00:00:00+05:30,389.05,390.9,383.85,386.2,109639
2024-09-03 00:00:00+05:30,387.0,396.65,383.4,385.6,122948
2024-09-04 00:00:00+05:30,380.2,390.45,380.2,388.05,75075
2024-09-05 00:00:00+05:30,390.0,407.0,388.55,393.85,218323
2024-09-06 00:00:00+05:30,394.0,396.3,376.6,378.65,168022
2024-09-09 00:00:00+05:30,378.25,382.7,370.1,372.4,156849
