date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,32.85,33.3,31.6,32.65,19123305
2024-06-04 00:00:00+05:30,32.5,32.5,27.55,29.1,22558924
2024-06-05 00:00:00+05:30,29.95,31.85,28.25,31.5,20279166
2024-06-06 00:00:00+05:30,31.95,32.6,31.65,32.3,12555040
2024-06-07 00:00:00+05:30,32.3,34.25,32.15,33.65,28939792
2024-06-10 00:00:00+05:30,33.95,34.49,33.11,33.25,14099329
2024-06-11 00:00:00+05:30,33.5,36.69,32.85,36.27,65742192
2024-06-12 00:00:00+05:30,36.7,37.31,35.83,36.46,43560590
2024-06-13 00:00:00+05:30,37.05,42.99,37.05,41.73,229723759
2024-06-14 00:00:00+05:30,42.05,43.5,41.06,41.59,81926632
2024-06-18 00:00:00+05:30,41.95,42.4,39.6,40.33,33705395
2024-06-19 00:00:00+05:30,40.5,43.95,38.73,42.52,84128082
2024-06-20 00:00:00+05:30,42.6,44.4,42.0,42.94,33542685
2024-06-21 00:00:00+05:30,43.0,44.24,42.0,42.68,31392105
2024-06-24 00:00:00+05:30,42.4,43.1,41.0,41.14,21271997
2024-06-25 00:00:00+05:30,41.75,43.12,41.25,41.4,18801736
2024-06-26 00:00:00+05:30,41.78,42.23,40.86,41.13,22035391
2024-06-27 00:00:00+05:30,41.28,41.58,39.3,39.99,20908432
2024-06-28 00:00:00+05:30,40.0,41.24,39.65,40.11,21297501
2024-07-01 00:00:00+05:30,40.39,41.78,39.98,41.29,17986877
2024-07-02 00:00:00+05:30,41.6,43.08,40.41,41.91,29963521
2024-07-03 00:00:00+05:30,42.25,42.64,41.31,41.68,19720859
2024-07-04 00:00:00+05:30,42.01,42.09,40.95,41.02,16131485
2024-07-05 00:00:00+05:30,40.8,41.68,40.65,40.88,14704341
2024-07-08 00:00:00+05:30,40.87,41.98,40.4,40.67,17391753
2024-07-09 00:00:00+05:30,40.9,44.3,40.15,42.33,65845795
2024-07-10 00:00:00+05:30,42.58,42.99,40.6,41.46,23906592
2024-07-11 00:00:00+05:30,41.78,44.95,41.54,44.07,77839139
2024-07-12 00:00:00+05:30,44.3,44.67,42.71,42.88,24974775
2024-07-15 00:00:00+05:30,43.1,43.18,41.55,41.89,17428133
2024-07-16 00:00:00+05:30,41.88,43.2,41.45,41.84,16178643
2024-07-18 00:00:00+05:30,42.0,42.0,40.34,40.8,17045277
