date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,65.55,65.95,63.7,64.6,265014
2024-06-04 00:00:00+05:30,64.95,64.95,61.4,61.4,276288
2024-06-05 00:00:00+05:30,61.4,61.4,58.35,59.4,502744
2024-06-06 00:00:00+05:30,60.1,62.35,60.1,62.35,141525
2024-06-07 00:00:00+05:30,63.45,68.55,63.0,68.55,880313
2024-06-10 00:00:00+05:30,69.89,70.95,66.61,69.13,611716
2024-06-11 00:00:00+05:30,69.8,69.95,65.22,66.47,351173
2024-06-12 00:00:00+05:30,67.5,70.5,66.85,67.61,352265
2024-06-13 00:00:00+05:30,67.95,69.25,67.95,68.51,154914
2024-06-14 00:00:00+05:30,68.51,69.95,67.5,67.9,297747
2024-06-18 00:00:00+05:30,68.05,68.95,64.17,66.03,216422
2024-06-19 00:00:00+05:30,66.09,68.39,66.0,66.33,274841
2024-06-20 00:00:00+05:30,66.6,72.5,66.6,71.53,1047759
2024-06-21 00:00:00+05:30,71.53,72.0,69.52,69.79,257591
2024-06-24 00:00:00+05:30,70.2,70.94,69.5,70.01,146499
2024-06-25 00:00:00+05:30,70.05,70.54,65.94,67.65,232743
2024-06-26 00:00:00+05:30,68.05,68.65,67.1,67.75,146479
2024-06-27 00:00:00+05:30,68.3,68.79,66.05,66.57,197015
2024-06-28 00:00:00+05:30,66.78,72.5,66.78,70.11,764463
2024-07-01 00:00:00+05:30,70.99,71.51,68.5,68.91,308627
2024-07-02 00:00:00+05:30,69.4,72.98,69.1,71.29,845331
2024-07-03 00:00:00+05:30,71.7,71.98,69.2,69.48,262427
2024-07-04 00:00:00+05:30,69.55,72.01,69.55,71.09,267101
2024-07-05 00:00:00+05:30,71.14,73.4,70.0,72.56,368993
2024-07-08 00:00:00+05:30,72.78,74.49,71.1,72.74,384844
2024-07-09 00:00:00+05:30,73.98,74.0,71.1,71.4,161155
2024-07-10 00:00:00+05:30,71.94,72.04,64.26,67.2,949074
2024-07-11 00:00:00+05:30,67.95,69.38,67.7,68.49,226507
2024-07-12 00:00:00+05:30,68.95,73.0,67.51,69.44,929999
2024-07-15 00:00:00+05:30,69.65,70.49,69.05,69.7,187718
2024-07-16 00:00:00+05:30,70.25,71.9,69.37,69.87,359072
2024-07-18 00:00:00+05:30,70.38,70.39,68.0,69.34,164202
2024-07-19 00:00:00+05:30,69.78,69.78,65.07,65.86,269489
2024-07-22 00:00:00+05:30,66.25,67.93,65.59,66.35,143397
2024-07-23 00:00:00+05:30,66.75,68.01,62.53,65.16,331037
2024-07-24 00:00:00+05:30,65.3,69.0,65.17,67.92,331407
2024-07-25 00:00:00+05:30,67.7,71.0,67.21,70.42,360026
2024-07-26 00:00:00+05:30,70.2,72.5,69.73,70.47,573159
2024-07-29 00:00:00+05:30,70.89,77.51,70.7,72.32,1298309
2024-07-30 00:00:00+05:30,72.95,75.0,71.95,72.78,641391
2024-07-31 00:00:00+05:30,73.27,74.58,72.45,73.51,387829
2024-08-01 00:00:00+05:30,73.89,74.05,70.05,70.52,253955
2024-08-02 00:00:00+05:30,70.0,74.89,69.8,72.64,741731
2024-08-05 00:00:00+05:30,69.8,71.31,67.0,67.27,485621
2024-08-06 00:00:00+05:30,68.0,70.53,66.11,66.64,378345
2024-08-07 00:00:00+05:30,68.1,70.14,67.47,68.82,301502
2024-08-08 00:00:00+05:30,69.4,72.85,68.28,70.25,560740
2024-08-09 00:00:00+05:30,70.6,71.24,68.06,69.03,230035
2024-08-12 00:00:00+05:30,67.12,69.35,67.12,68.47,234811
2024-08-13 00:00:00+05:30,68.35,72.9,67.2,70.17,1323515
2024-08-14 00:00:00+05:30,72.99,72.99,68.5,70.01,117238
2024-08-16 00:00:00+05:30,70.22,71.1,68.55,70.04,68066
2024-08-19 00:00:00+05:30,70.9,70.9,69.0,69.81,65722
2024-08-20 00:00:00+05:30,69.81,70.5,69.5,69.64,94855
2024-08-21 00:00:00+05:30,69.65,71.8,69.65,70.6,151456
2024-08-22 00:00:00+05:30,71.4,71.75,69.81,70.69,87779
2024-08-23 00:00:00+05:30,70.7,71.25,69.55,69.95,68946
2024-08-26 00:00:00+05:30,71.69,71.69,69.1,70.69,81183
