date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,126.0,127.0,112.1,114.0,122419
2024-06-04 00:00:00+05:30,113.0,113.9,95.0,97.9,113963
2024-06-05 00:00:00+05:30,99.0,107.65,93.0,107.1,78415
2024-06-06 00:00:00+05:30,107.65,112.15,103.65,106.5,41124
2024-06-07 00:00:00+05:30,109.9,114.75,104.5,113.65,53538
2024-06-10 00:00:00+05:30,115.98,118.0,115.0,116.23,27861
2024-06-11 00:00:00+05:30,116.78,117.5,114.9,115.26,16464
2024-06-12 00:00:00+05:30,115.0,126.78,115.0,126.78,60489
2024-06-13 00:00:00+05:30,130.0,130.0,122.02,124.12,31953
2024-06-14 00:00:00+05:30,124.8,127.25,117.21,120.94,47015
2024-06-18 00:00:00+05:30,121.6,133.0,120.0,125.2,71330
2024-06-19 00:00:00+05:30,125.2,128.69,123.95,124.47,16623
2024-06-20 00:00:00+05:30,120.1,132.14,118.0,124.84,30601
2024-06-21 00:00:00+05:30,128.7,128.7,119.71,120.44,41218
2024-06-24 00:00:00+05:30,121.1,122.07,117.0,120.26,27057
2024-06-25 00:00:00+05:30,120.9,129.45,120.9,125.01,97794
2024-06-26 00:00:00+05:30,127.6,129.0,122.5,124.98,36969
2024-06-27 00:00:00+05:30,125.6,126.08,119.81,121.26,29332
2024-06-28 00:00:00+05:30,121.9,122.95,116.22,119.3,18125
2024-07-01 00:00:00+05:30,119.9,122.46,118.3,118.52,25817
2024-07-02 00:00:00+05:30,118.95,120.49,118.0,119.35,13125
2024-07-03 00:00:00+05:30,120.0,123.0,118.92,121.23,20905
2024-07-04 00:00:00+05:30,121.23,123.0,119.1,119.51,9008
2024-07-05 00:00:00+05:30,120.1,120.99,117.0,118.37,17972
2024-07-08 00:00:00+05:30,119.99,122.44,117.31,118.5,14202
2024-07-09 00:00:00+05:30,120.5,120.5,111.64,114.25,21565
2024-07-10 00:00:00+05:30,116.3,116.54,110.01,113.05,24754
2024-07-11 00:00:00+05:30,112.0,119.99,111.23,117.79,29025
2024-07-12 00:00:00+05:30,118.4,118.4,112.81,114.45,21488
2024-07-15 00:00:00+05:30,115.1,117.08,109.0,110.46,30926
2024-07-16 00:00:00+05:30,113.0,113.0,107.8,108.69,16475
2024-07-18 00:00:00+05:30,109.3,114.98,106.6,109.42,25251
2024-07-19 00:00:00+05:30,110.0,112.4,106.4,106.87,22233
