date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,25.95,26.35,24.6,25.2,91349
2024-06-04 00:00:00+05:30,25.75,25.75,20.6,21.15,249061
2024-06-05 00:00:00+05:30,21.9,25.35,20.35,25.3,330531
2024-06-06 00:00:00+05:30,25.35,25.85,23.85,24.25,157222
2024-06-07 00:00:00+05:30,24.3,25.95,24.25,24.85,99072
2024-06-10 00:00:00+05:30,24.85,26.9,24.81,25.75,231984
2024-06-11 00:00:00+05:30,26.27,27.54,25.54,26.27,189461
2024-06-12 00:00:00+05:30,26.8,26.8,26.01,26.25,139282
2024-06-13 00:00:00+05:30,26.5,26.84,26.07,26.22,114826
2024-06-14 00:00:00+05:30,26.5,27.29,26.2,26.28,323272
2024-06-18 00:00:00+05:30,26.28,26.92,25.16,25.79,123385
2024-06-19 00:00:00+05:30,26.5,27.2,25.75,25.89,106707
2024-06-20 00:00:00+05:30,26.1,26.58,25.5,25.65,124570
2024-06-21 00:00:00+05:30,25.64,26.3,25.53,25.88,72831
2024-06-24 00:00:00+05:30,26.34,26.9,25.24,26.21,248532
2024-06-25 00:00:00+05:30,26.35,26.9,25.83,26.09,121688
2024-06-26 00:00:00+05:30,26.45,26.49,25.57,25.78,75273
2024-06-27 00:00:00+05:30,25.78,26.15,24.85,25.28,56525
2024-06-28 00:00:00+05:30,25.07,25.56,24.0,24.22,205089
2024-07-01 00:00:00+05:30,24.27,24.99,23.76,24.05,80551
2024-07-02 00:00:00+05:30,24.47,27.24,24.22,26.15,445224
2024-07-03 00:00:00+05:30,26.38,26.95,25.61,26.24,236726
2024-07-04 00:00:00+05:30,26.6,26.9,24.41,25.14,217894
2024-07-05 00:00:00+05:30,25.33,25.91,25.11,25.57,151198
2024-07-08 00:00:00+05:30,25.57,25.97,25.05,25.16,159071
2024-07-09 00:00:00+05:30,25.2,25.96,25.18,25.41,195292
2024-07-10 00:00:00+05:30,25.25,25.59,24.27,24.74,83350
2024-07-11 00:00:00+05:30,24.95,25.25,24.31,24.56,107754
2024-07-12 00:00:00+05:30,24.69,25.94,24.26,24.54,92944
2024-07-15 00:00:00+05:30,24.7,25.5,24.22,25.04,104635
2024-07-16 00:00:00+05:30,25.4,25.5,24.56,24.75,66466
2024-07-18 00:00:00+05:30,25.3,25.3,24.21,24.37,64988
2024-07-19 00:00:00+05:30,24.67,24.67,23.38,23.55,78333
2024-07-22 00:00:00+05:30,23.25,24.15,23.25,23.63,23200
2024-07-23 00:00:00+05:30,23.68,23.98,23.0,23.23,44303
2024-07-24 00:00:00+05:30,23.39,24.0,23.17,23.83,31608
2024-07-25 00:00:00+05:30,23.49,23.99,23.4,23.58,57443
2024-07-26 00:00:00+05:30,23.6,24.55,23.6,24.21,53104
2024-07-29 00:00:00+05:30,24.5,25.5,24.5,25.02,107046
2024-07-30 00:00:00+05:30,25.02,25.43,24.66,24.87,61772
2024-07-31 00:00:00+05:30,25.49,27.8,24.79,26.12,817646
2024-08-01 00:00:00+05:30,26.8,26.8,25.5,25.82,101311
2024-08-02 00:00:00+05:30,25.6,25.87,24.9,24.94,68009
2024-08-05 00:00:00+05:30,24.94,24.94,22.7,23.47,105620
2024-08-06 00:00:00+05:30,24.89,24.89,23.6,23.88,67313
2024-08-07 00:00:00+05:30,24.5,24.69,23.59,23.74,70470
2024-08-08 00:00:00+05:30,23.7,24.6,23.61,23.79,33740
2024-08-09 00:00:00+05:30,24.6,24.75,23.52,23.85,26844
2024-08-12 00:00:00+05:30,23.85,24.54,23.64,23.91,38790
2024-08-13 00:00:00+05:30,24.5,24.85,23.69,24.13,70184
2024-08-14 00:00:00+05:30,24.5,24.5,23.5,23.75,10591
2024-08-16 00:00:00+05:30,23.75,24.19,23.7,23.85,28770
2024-08-19 00:00:00+05:30,23.93,24.2,22.69,23.72,53461
2024-08-20 00:00:00+05:30,24.0,24.0,23.54,23.74,22218
2024-08-21 00:00:00+05:30,24.7,24.7,23.61,23.86,80889
2024-08-22 00:00:00+05:30,24.5,24.5,23.76,23.92,46655
2024-08-23 00:00:00+05:30,24.4,24.4,23.61,23.81,60546
2024-08-26 00:00:00+05:30,24.25,24.25,22.3,22.9,126765
2024-08-27 00:00:00+05:30,23.01,23.48,22.9,23.13,44838
2024-08-28 00:00:00+05:30,23.49,27.75,23.47,25.37,2754595
2024-08-29 00:00:00+05:30,25.96,26.1,24.25,24.74,358223
2024-08-30 00:00:00+05:30,24.74,28.4,24.74,26.98,1096712
2024-09-02 00:00:00+05:30,27.0,28.45,27.0,27.33,772446
2024-09-03 00:00:00+05:30,27.6,27.94,26.1,26.55,284056
2024-09-04 00:00:00+05:30,26.26,28.45,26.26,27.57,698060
2024-09-05 00:00:00+05:30,28.4,28.4,27.45,27.73,494248
2024-09-06 00:00:00+05:30,28.0,28.28,26.91,27.04,353135
2024-09-09 00:00:00+05:30,27.58,27.97,26.11,26.54,353704
2024-09-10 00:00:00+05:30,26.12,27.39,26.12,27.01,235618
2024-09-11 00:00:00+05:30,28.4,28.4,26.55,27.08,221645
2024-09-12 00:00:00+05:30,27.63,27.82,27.02,27.36,132903
2024-09-13 00:00:00+05:30,27.5,27.79,26.62,26.97,173397
2024-09-16 00:00:00+05:30,27.38,28.1,27.05,27.39,141291
2024-09-17 00:00:00+05:30,27.25,27.89,26.79,27.05,158249
2024-09-18 00:00:00+05:30,27.4,27.49,25.57,26.14,101268
2024-09-19 00:00:00+05:30,26.48,27.37,25.51,26.12,216885
2024-09-20 00:00:00+05:30,26.44,28.33,26.08,26.78,691353
2024-09-23 00:00:00+05:30,27.05,28.18,27.05,27.98,436537
2024-09-24 00:00:00+05:30,28.88,29.99,28.11,28.37,741174
2024-09-25 00:00:00+05:30,28.79,29.49,27.5,28.91,650051
2024-09-26 00:00:00+05:30,28.91,28.91,27.56,27.94,276778
2024-09-27 00:00:00+05:30,28.8,29.3,27.8,28.8,337399
2024-09-30 00:00:00+05:30,29.6,29.6,28.11,28.32,162257
2024-10-01 00:00:00+05:30,28.88,28.88,28.09,28.34,71081
