date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,120.0,120.0,114.0,114.45,42920
2024-06-04 00:00:00+05:30,116.15,116.15,100.0,104.9,64972
2024-06-05 00:00:00+05:30,107.0,109.0,100.3,107.75,62309
2024-06-06 00:00:00+05:30,109.9,113.3,109.9,112.2,57590
2024-06-07 00:00:00+05:30,113.0,116.8,111.5,114.85,52777
2024-06-10 00:00:00+05:30,118.0,122.0,116.0,120.01,136350
2024-06-11 00:00:00+05:30,121.0,125.4,120.0,120.87,82256
2024-06-12 00:00:00+05:30,121.0,125.0,120.1,120.78,58365
2024-06-13 00:00:00+05:30,122.18,122.18,118.0,118.83,29285
2024-06-14 00:00:00+05:30,116.5,120.49,116.5,118.51,32875
2024-06-18 00:00:00+05:30,119.01,121.0,118.0,118.53,31692
2024-06-19 00:00:00+05:30,118.75,120.67,116.52,117.67,30634
2024-06-20 00:00:00+05:30,117.0,121.14,116.83,117.8,36628
2024-06-21 00:00:00+05:30,118.0,120.9,117.6,120.18,49277
2024-06-24 00:00:00+05:30,123.0,124.27,117.0,119.19,74953
2024-06-25 00:00:00+05:30,119.79,122.92,117.16,118.33,24050
2024-06-26 00:00:00+05:30,120.5,122.95,117.12,117.97,59637
2024-06-27 00:00:00+05:30,117.25,119.78,116.01,116.59,24089
2024-06-28 00:00:00+05:30,116.25,119.25,116.25,117.69,19298
2024-07-01 00:00:00+05:30,118.0,120.99,118.0,119.44,35044
2024-07-02 00:00:00+05:30,120.0,123.85,118.76,121.59,95928
2024-07-03 00:00:00+05:30,122.0,123.99,118.83,119.81,48081
2024-07-04 00:00:00+05:30,123.0,123.0,119.13,119.91,52698
2024-07-05 00:00:00+05:30,119.05,124.9,119.05,122.95,97997
2024-07-08 00:00:00+05:30,122.95,126.5,120.05,122.49,83994
2024-07-09 00:00:00+05:30,125.5,125.5,122.21,122.48,39431
2024-07-10 00:00:00+05:30,125.0,125.0,119.03,122.36,37336
2024-07-11 00:00:00+05:30,121.74,124.0,120.71,121.52,31301
2024-07-12 00:00:00+05:30,123.0,124.95,118.01,120.26,58897
2024-07-15 00:00:00+05:30,121.0,122.69,120.82,121.49,17713
2024-07-16 00:00:00+05:30,121.5,122.39,119.5,119.84,23069
2024-07-18 00:00:00+05:30,119.5,120.32,116.1,116.4,31480
2024-07-19 00:00:00+05:30,116.4,117.42,111.7,112.79,34437
2024-07-22 00:00:00+05:30,115.0,115.0,111.6,112.68,13175
2024-07-23 00:00:00+05:30,113.0,116.05,109.18,111.14,20238
2024-07-24 00:00:00+05:30,110.01,117.75,110.01,116.88,24536
2024-07-25 00:00:00+05:30,116.85,116.9,113.71,115.85,10251
2024-07-26 00:00:00+05:30,114.01,119.78,114.01,117.3,28604
2024-07-29 00:00:00+05:30,117.0,119.95,116.96,118.27,19906
2024-07-30 00:00:00+05:30,117.0,121.53,117.0,118.57,25375
2024-07-31 00:00:00+05:30,117.99,122.2,117.98,121.22,48913
2024-08-01 00:00:00+05:30,122.4,123.5,117.71,120.12,42826
2024-08-02 00:00:00+05:30,120.01,123.25,117.0,120.28,33554
2024-08-05 00:00:00+05:30,116.0,124.75,116.0,121.16,166580
2024-08-06 00:00:00+05:30,124.0,124.69,114.85,116.04,61011
2024-08-07 00:00:00+05:30,116.27,121.69,116.27,119.61,54386
2024-08-08 00:00:00+05:30,119.0,121.76,118.5,119.12,28813
2024-08-09 00:00:00+05:30,120.05,123.0,119.43,121.67,33432
2024-08-12 00:00:00+05:30,122.5,124.8,120.6,123.51,96642
2024-08-13 00:00:00+05:30,121.95,121.95,111.4,112.38,196257
2024-08-14 00:00:00+05:30,113.98,114.5,111.41,112.14,30133
2024-08-16 00:00:00+05:30,113.0,115.5,112.87,114.42,23037
2024-08-19 00:00:00+05:30,114.0,117.8,114.0,114.8,32987
2024-08-20 00:00:00+05:30,116.45,116.61,113.0,114.88,23664
2024-08-21 00:00:00+05:30,114.0,119.79,114.0,118.58,61836
2024-08-22 00:00:00+05:30,119.5,141.98,118.79,137.68,1821667
2024-08-23 00:00:00+05:30,141.4,147.0,139.0,141.56,1144222
2024-08-26 00:00:00+05:30,142.69,152.3,137.98,147.18,820010
2024-08-27 00:00:00+05:30,147.9,147.9,140.6,143.09,225189
2024-08-28 00:00:00+05:30,143.09,157.98,140.1,152.58,872646
2024-08-29 00:00:00+05:30,154.3,156.0,147.0,150.86,261487
2024-08-30 00:00:00+05:30,150.9,151.5,144.32,146.31,133060
2024-09-02 00:00:00+05:30,142.0,142.0,138.99,138.99,26301
2024-09-03 00:00:00+05:30,133.0,136.25,132.04,132.04,43890
2024-09-04 00:00:00+05:30,125.43,138.64,125.43,138.64,82068
