date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,88.1,88.9,86.2,88.55,12626
2024-06-04 00:00:00+05:30,89.05,89.25,81.7,82.9,13584
2024-06-05 00:00:00+05:30,86.95,89.0,83.15,84.95,3036
2024-06-06 00:00:00+05:30,85.1,87.05,84.65,86.3,7425
2024-06-07 00:00:00+05:30,87.35,93.0,87.25,90.75,20792
2024-06-10 00:00:00+05:30,92.59,92.73,89.1,91.43,7081
2024-06-11 00:00:00+05:30,92.4,92.95,91.0,92.17,25205
2024-06-12 00:00:00+05:30,92.69,93.98,91.9,92.02,27991
2024-06-13 00:00:00+05:30,93.03,93.19,91.0,91.34,32022
2024-06-14 00:00:00+05:30,92.0,109.6,91.42,100.85,293809
2024-06-18 00:00:00+05:30,100.0,103.0,96.3,97.07,76799
2024-06-19 00:00:00+05:30,97.9,97.9,94.0,96.77,91321
2024-06-20 00:00:00+05:30,97.02,97.02,95.15,96.0,47255
2024-06-21 00:00:00+05:30,97.1,97.1,95.0,95.95,43142
2024-06-24 00:00:00+05:30,95.21,98.0,95.21,96.46,35672
2024-06-25 00:00:00+05:30,96.87,100.0,94.84,96.53,69927
2024-06-26 00:00:00+05:30,96.56,102.69,96.03,100.96,87965
2024-06-27 00:00:00+05:30,101.6,103.9,100.02,101.06,47521
2024-06-28 00:00:00+05:30,103.07,103.16,97.6,100.37,86321
2024-07-01 00:00:00+05:30,99.0,102.0,97.15,98.88,45705
2024-07-02 00:00:00+05:30,99.77,100.46,97.05,97.66,39839
2024-07-03 00:00:00+05:30,98.06,100.34,98.06,99.68,46915
2024-07-04 00:00:00+05:30,99.68,105.5,99.01,104.4,82249
2024-07-05 00:00:00+05:30,105.1,107.64,103.0,103.1,84808
2024-07-08 00:00:00+05:30,103.89,107.0,100.43,104.04,48989
2024-07-09 00:00:00+05:30,104.18,105.99,101.67,102.82,32115
2024-07-10 00:00:00+05:30,104.86,106.8,101.03,105.52,71054
2024-07-11 00:00:00+05:30,106.95,107.72,105.45,106.26,80439
2024-07-12 00:00:00+05:30,107.1,107.55,104.0,104.7,35860
2024-07-15 00:00:00+05:30,104.55,107.8,104.55,106.8,41007
2024-07-16 00:00:00+05:30,106.85,107.49,104.8,104.83,27777
2024-07-18 00:00:00+05:30,104.8,109.3,104.8,106.31,64361
2024-07-19 00:00:00+05:30,105.81,106.47,100.22,101.44,56833
2024-07-22 00:00:00+05:30,100.0,104.29,100.0,102.75,23181
2024-07-23 00:00:00+05:30,101.05,104.51,99.25,100.78,23031
2024-07-24 00:00:00+05:30,102.84,103.51,101.11,101.73,26154
2024-07-25 00:00:00+05:30,102.3,103.88,100.17,102.28,14196
2024-07-26 00:00:00+05:30,102.47,103.4,100.2,101.22,14648
2024-07-29 00:00:00+05:30,104.34,104.34,100.51,100.86,13864
2024-07-30 00:00:00+05:30,101.39,103.98,101.0,101.24,14723
2024-07-31 00:00:00+05:30,103.52,103.52,100.0,100.79,13838
2024-08-01 00:00:00+05:30,101.98,104.99,101.0,101.11,15677
2024-08-02 00:00:00+05:30,103.98,103.98,100.0,100.62,17960
2024-08-05 00:00:00+05:30,99.97,100.59,94.0,97.16,17994
2024-08-06 00:00:00+05:30,101.88,101.88,96.16,98.51,12771
2024-08-07 00:00:00+05:30,101.95,103.82,98.05,98.9,7618
2024-08-08 00:00:00+05:30,99.17,100.01,96.0,96.95,4610
2024-08-09 00:00:00+05:30,100.21,102.19,97.85,99.64,9235
2024-08-12 00:00:00+05:30,98.3,100.0,97.11,98.26,11129
2024-08-13 00:00:00+05:30,101.6,103.85,98.0,99.16,31031
2024-08-14 00:00:00+05:30,100.44,102.5,98.3,99.38,9948
2024-08-16 00:00:00+05:30,100.97,100.97,97.0,97.34,9598
2024-08-19 00:00:00+05:30,98.5,100.3,96.0,96.73,7702
2024-08-20 00:00:00+05:30,97.97,98.57,96.51,97.32,5402
2024-08-21 00:00:00+05:30,98.17,99.34,96.1,97.49,9769
2024-08-22 00:00:00+05:30,98.77,99.05,97.0,98.15,6041
2024-08-23 00:00:00+05:30,99.05,99.26,96.1,97.2,6696
2024-08-26 00:00:00+05:30,97.97,99.45,97.49,98.36,6101
2024-08-27 00:00:00+05:30,101.73,101.73,98.43,98.85,6659
2024-08-28 00:00:00+05:30,100.89,100.89,97.44,98.12,5758
2024-08-29 00:00:00+05:30,100.5,100.51,96.43,97.65,10598
2024-08-30 00:00:00+05:30,98.97,99.57,97.8,98.78,7965
2024-09-02 00:00:00+05:30,99.97,100.17,98.02,99.99,11741
2024-09-03 00:00:00+05:30,100.5,101.0,97.21,97.75,23219
2024-09-04 00:00:00+05:30,99.4,100.9,98.04,99.92,22805
2024-09-05 00:00:00+05:30,99.01,102.76,99.01,100.45,21588
2024-09-06 00:00:00+05:30,102.04,107.0,100.3,104.4,122869
2024-09-09 00:00:00+05:30,106.0,107.5,102.25,103.67,57248
2024-09-10 00:00:00+05:30,104.32,104.94,102.51,103.45,31276
2024-09-11 00:00:00+05:30,103.86,107.0,103.54,104.08,23128
2024-09-12 00:00:00+05:30,105.74,105.8,104.01,104.38,15565
2024-09-13 00:00:00+05:30,105.15,106.39,103.02,104.05,16085
2024-09-16 00:00:00+05:30,105.85,105.85,102.66,102.97,10129
2024-09-17 00:00:00+05:30,104.4,104.4,99.61,100.28,7189
2024-09-18 00:00:00+05:30,101.25,101.25,98.36,99.44,5877
2024-09-19 00:00:00+05:30,102.42,102.44,98.01,99.08,7375
2024-09-20 00:00:00+05:30,100.25,101.16,97.15,97.99,20961
2024-09-23 00:00:00+05:30,99.99,103.19,98.98,99.59,19243
2024-09-24 00:00:00+05:30,100.3,102.59,99.99,101.7,18103
2024-09-25 00:00:00+05:30,102.07,102.25,99.0,99.39,16656
2024-09-26 00:00:00+05:30,100.17,116.95,99.63,115.89,1041630
2024-09-27 00:00:00+05:30,116.48,119.5,110.8,111.52,326152
