date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,50.36,52.79,50.36,52.09,2620473
2024-06-04 00:00:00+05:30,52.28,53.2,48.06,50.0,411136
2024-06-05 00:00:00+05:30,50.0,50.67,47.58,50.02,424679
2024-06-06 00:00:00+05:30,50.01,50.67,49.96,50.25,229339
2024-06-07 00:00:00+05:30,49.25,50.97,49.25,50.82,1060668
2024-06-10 00:00:00+05:30,51.5,51.5,50.68,50.8,333001
2024-06-11 00:00:00+05:30,51.45,51.45,50.23,50.65,15053188
2024-06-12 00:00:00+05:30,51.18,51.27,50.66,50.88,11076804
2024-06-13 00:00:00+05:30,50.66,51.48,49.85,50.93,53787
2024-06-14 00:00:00+05:30,50.93,51.48,49.94,50.94,78275
2024-06-18 00:00:00+05:30,51.38,51.75,50.1,51.48,17096130
2024-06-19 00:00:00+05:30,51.6,53.0,51.28,52.37,1852942
2024-06-20 00:00:00+05:30,52.48,52.98,52.32,52.89,73436
2024-06-21 00:00:00+05:30,53.25,53.25,52.41,52.79,49602
2024-06-24 00:00:00+05:30,52.11,52.95,52.11,52.78,64893
2024-06-25 00:00:00+05:30,53.15,53.91,52.52,53.84,111330
2024-06-26 00:00:00+05:30,53.4,54.13,53.22,53.84,186054
2024-06-27 00:00:00+05:30,54.24,54.3,53.71,53.97,432966
2024-06-28 00:00:00+05:30,53.98,54.44,53.45,53.55,595410
2024-07-01 00:00:00+05:30,53.95,53.96,53.02,53.73,121016
2024-07-02 00:00:00+05:30,54.1,54.29,53.1,53.26,960177
2024-07-03 00:00:00+05:30,54.0,54.38,53.31,54.26,415894
2024-07-04 00:00:00+05:30,54.74,54.74,54.0,54.25,37907
2024-07-05 00:00:00+05:30,54.3,54.48,53.5,53.72,283395
2024-07-08 00:00:00+05:30,54.18,54.18,53.37,53.61,78122
2024-07-09 00:00:00+05:30,53.12,53.89,53.12,53.74,81942
2024-07-10 00:00:00+05:30,53.74,54.15,53.22,53.38,87142
2024-07-11 00:00:00+05:30,53.61,53.69,52.9,53.36,298685
2024-07-12 00:00:00+05:30,53.37,53.87,53.26,53.44,97230
2024-07-15 00:00:00+05:30,53.84,54.1,53.11,53.66,147862
2024-07-16 00:00:00+05:30,53.93,53.94,53.13,53.6,230727
2024-07-18 00:00:00+05:30,53.97,53.98,53.14,53.8,1175867
2024-07-19 00:00:00+05:30,53.8,54.3,53.26,53.37,67006
2024-07-22 00:00:00+05:30,53.44,53.78,52.3,53.47,1089528
2024-07-23 00:00:00+05:30,53.93,53.93,52.45,52.91,75673
2024-07-24 00:00:00+05:30,52.01,53.38,52.0,52.47,926112
2024-07-25 00:00:00+05:30,51.94,52.77,51.75,52.07,81676
2024-07-26 00:00:00+05:30,51.77,52.47,51.77,52.26,672470
2024-07-29 00:00:00+05:30,52.11,53.48,52.11,52.6,488282
2024-07-30 00:00:00+05:30,52.93,53.16,52.4,52.54,1220326
2024-07-31 00:00:00+05:30,52.54,52.9,52.3,52.69,1029391
2024-08-01 00:00:00+05:30,53.18,53.2,52.31,52.8,49990
2024-08-02 00:00:00+05:30,52.6,52.74,52.16,52.49,36479
2024-08-05 00:00:00+05:30,52.37,52.37,50.75,51.29,151691
2024-08-06 00:00:00+05:30,51.89,51.92,50.69,50.95,50374
2024-08-07 00:00:00+05:30,51.54,51.54,50.9,51.1,316672
2024-08-08 00:00:00+05:30,51.44,51.49,50.51,51.22,49124
2024-08-09 00:00:00+05:30,51.94,52.1,51.25,51.59,893786
2024-08-12 00:00:00+05:30,52.18,52.18,51.17,51.83,27225
2024-08-13 00:00:00+05:30,52.45,52.45,51.0,51.08,62243
2024-08-14 00:00:00+05:30,51.66,52.0,50.43,51.05,1013451
2024-08-16 00:00:00+05:30,52.04,52.04,50.61,51.71,292232
2024-08-19 00:00:00+05:30,50.8,52.28,50.68,51.49,825355
2024-08-20 00:00:00+05:30,50.97,52.39,50.6,51.98,112436
2024-08-21 00:00:00+05:30,52.47,52.48,51.46,51.94,56981
2024-08-22 00:00:00+05:30,52.57,52.57,51.94,52.21,342622
2024-08-23 00:00:00+05:30,52.22,52.67,51.98,52.18,30181
2024-08-26 00:00:00+05:30,51.85,52.67,51.85,52.41,689258
2024-08-27 00:00:00+05:30,52.45,52.7,52.0,52.5,1139631
2024-08-28 00:00:00+05:30,52.15,52.88,52.07,52.4,362890
2024-08-29 00:00:00+05:30,52.87,52.87,52.14,52.32,639811
2024-08-30 00:00:00+05:30,52.1,52.84,51.3,52.64,98960
2024-09-02 00:00:00+05:30,52.11,52.93,52.11,52.62,79731
2024-09-03 00:00:00+05:30,51.6,52.96,51.5,52.86,236608
2024-09-04 00:00:00+05:30,52.11,52.78,51.27,52.58,192523
2024-09-05 00:00:00+05:30,52.98,53.5,52.11,52.66,44728
2024-09-06 00:00:00+05:30,52.2,53.25,51.61,51.92,67646
2024-09-09 00:00:00+05:30,52.5,53.47,51.32,52.26,166736
2024-09-10 00:00:00+05:30,53.05,53.05,51.55,52.42,14970
2024-09-11 00:00:00+05:30,52.42,52.95,51.8,52.13,53118
2024-09-12 00:00:00+05:30,52.74,53.16,51.3,52.95,53959
2024-09-13 00:00:00+05:30,52.25,53.45,51.88,53.09,47503
2024-09-16 00:00:00+05:30,53.0,53.57,53.0,53.42,66897
2024-09-17 00:00:00+05:30,52.75,53.62,52.75,53.49,48955
