date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,520.0,520.0,502.99,512.22,75340
2024-06-04 00:00:00+05:30,512.23,512.23,462.0,492.53,34542
2024-06-05 00:00:00+05:30,501.98,501.98,468.3,492.27,17875
2024-06-06 00:00:00+05:30,493.0,500.0,492.02,495.74,35639
2024-06-07 00:00:00+05:30,493.2,501.56,493.2,500.28,2955
2024-06-10 00:00:00+05:30,510.29,510.29,498.61,499.48,3587
2024-06-11 00:00:00+05:30,495.8,502.57,495.8,500.49,7486
2024-06-12 00:00:00+05:30,502.84,505.39,500.2,500.99,4772
2024-06-13 00:00:00+05:30,502.63,504.59,500.45,501.52,1299
2024-06-14 00:00:00+05:30,509.99,509.99,500.0,502.86,18658
2024-06-18 00:00:00+05:30,502.91,507.98,502.8,505.48,19993
2024-06-19 00:00:00+05:30,506.61,522.37,506.61,517.5,28329
2024-06-20 00:00:00+05:30,517.51,521.81,514.77,521.37,5555
2024-06-21 00:00:00+05:30,519.02,521.47,516.02,521.02,10846
2024-06-24 00:00:00+05:30,517.07,521.02,514.5,519.81,4792
2024-06-25 00:00:00+05:30,512.12,530.47,512.12,529.63,7482
2024-06-26 00:00:00+05:30,521.95,532.79,521.95,531.31,21264
2024-06-27 00:00:00+05:30,531.31,536.1,528.61,531.98,3678
2024-06-28 00:00:00+05:30,533.91,534.0,525.96,526.86,7928
2024-07-01 00:00:00+05:30,537.4,537.4,525.4,529.7,2409
2024-07-02 00:00:00+05:30,531.75,531.75,522.1,525.01,12462
2024-07-03 00:00:00+05:30,529.01,535.0,527.33,534.42,15319
2024-07-04 00:00:00+05:30,534.43,535.81,531.05,534.82,4981
2024-07-05 00:00:00+05:30,531.75,531.75,526.16,529.95,18757
2024-07-08 00:00:00+05:30,528.2,529.95,526.5,528.08,4903
2024-07-09 00:00:00+05:30,528.31,529.85,527.43,528.18,1322
2024-07-10 00:00:00+05:30,526.32,527.64,523.58,525.7,2135
2024-07-11 00:00:00+05:30,524.0,526.8,521.41,526.0,1950
2024-07-12 00:00:00+05:30,528.64,530.04,525.01,527.47,1745
2024-07-15 00:00:00+05:30,527.2,529.97,524.97,527.81,1728
2024-07-16 00:00:00+05:30,529.09,529.58,527.25,527.97,2138
2024-07-18 00:00:00+05:30,526.0,531.59,524.65,530.07,2994
2024-07-19 00:00:00+05:30,528.0,528.33,524.88,526.26,11045
2024-07-22 00:00:00+05:30,524.25,527.59,523.48,526.42,3077
2024-07-23 00:00:00+05:30,525.0,526.76,517.52,521.38,2925
2024-07-24 00:00:00+05:30,519.49,522.21,511.86,516.75,7796
2024-07-25 00:00:00+05:30,511.97,513.16,509.04,512.86,22261
2024-07-26 00:00:00+05:30,509.12,517.34,507.68,516.46,21299
2024-07-29 00:00:00+05:30,518.52,527.21,516.0,517.72,6204
2024-07-30 00:00:00+05:30,517.62,522.82,517.0,518.32,4504
2024-07-31 00:00:00+05:30,518.58,519.8,516.34,519.37,4095
2024-08-01 00:00:00+05:30,520.41,522.64,518.5,519.54,22311
2024-08-02 00:00:00+05:30,515.44,519.88,514.11,516.96,1548
2024-08-05 00:00:00+05:30,510.85,510.91,500.0,504.45,10844
2024-08-06 00:00:00+05:30,509.45,509.84,500.27,501.17,4755
2024-08-07 00:00:00+05:30,505.09,505.4,501.25,504.66,3679
2024-08-08 00:00:00+05:30,504.11,507.8,502.01,504.68,1567
2024-08-09 00:00:00+05:30,508.14,510.79,507.1,508.79,14607
2024-08-12 00:00:00+05:30,506.32,512.15,505.2,509.52,2795
2024-08-13 00:00:00+05:30,508.75,509.48,502.05,503.07,4353
2024-08-14 00:00:00+05:30,508.97,508.97,500.75,501.67,2258
2024-08-16 00:00:00+05:30,506.36,510.9,502.46,509.82,1967
2024-08-19 00:00:00+05:30,511.25,511.25,507.77,508.09,3887
2024-08-20 00:00:00+05:30,511.16,515.0,510.76,512.49,3905
2024-08-21 00:00:00+05:30,510.99,512.56,508.17,511.52,2497
2024-08-22 00:00:00+05:30,512.57,514.93,511.92,514.43,1130
2024-08-23 00:00:00+05:30,512.51,515.85,512.5,513.4,4051
2024-08-26 00:00:00+05:30,514.73,518.05,514.72,516.55,2636
2024-08-27 00:00:00+05:30,515.15,518.83,514.5,517.87,3555
2024-08-28 00:00:00+05:30,517.29,517.32,515.5,515.8,1016
2024-08-29 00:00:00+05:30,515.81,518.5,514.5,516.25,4478
2024-08-30 00:00:00+05:30,518.06,519.65,517.53,517.78,7090
2024-09-02 00:00:00+05:30,518.03,520.45,516.81,519.42,6240
2024-09-03 00:00:00+05:30,519.4,521.08,517.28,520.26,5515
2024-09-04 00:00:00+05:30,519.15,519.36,517.26,518.4,2278
2024-09-05 00:00:00+05:30,518.4,520.15,518.05,519.74,10018
2024-09-06 00:00:00+05:30,517.71,518.18,509.0,510.9,15780
2024-09-09 00:00:00+05:30,509.01,516.42,507.53,515.32,3499
2024-09-10 00:00:00+05:30,517.47,518.5,513.97,518.08,1796
2024-09-11 00:00:00+05:30,509.79,517.62,509.79,514.77,5660
2024-09-12 00:00:00+05:30,515.95,523.39,515.8,521.11,6109
2024-09-13 00:00:00+05:30,521.4,524.56,520.5,523.06,1521
2024-09-16 00:00:00+05:30,524.1,526.85,524.1,526.65,5519
2024-09-17 00:00:00+05:30,526.66,527.0,525.25,526.56,4323
2024-09-18 00:00:00+05:30,526.56,533.13,526.56,532.15,7730
2024-09-19 00:00:00+05:30,536.5,537.51,533.09,535.26,3749
2024-09-20 00:00:00+05:30,551.3,551.3,534.47,542.41,11036
2024-09-23 00:00:00+05:30,542.41,547.4,542.24,546.46,58072
2024-09-24 00:00:00+05:30,544.02,547.0,543.57,544.76,7974
2024-09-25 00:00:00+05:30,543.91,546.58,542.85,546.29,11435
2024-09-26 00:00:00+05:30,551.94,551.94,545.11,548.74,5067
2024-09-27 00:00:00+05:30,548.75,548.75,542.68,543.68,17250
2024-09-30 00:00:00+05:30,548.48,548.48,534.08,534.92,219577
2024-10-01 00:00:00+05:30,534.92,537.11,533.0,534.39,200404
2024-10-03 00:00:00+05:30,530.57,530.63,521.98,523.55,593008
2024-10-04 00:00:00+05:30,523.84,527.86,518.58,519.38,11620
2024-10-07 00:00:00+05:30,519.99,521.99,507.0,509.92,44012
2024-10-08 00:00:00+05:30,509.92,516.63,509.84,515.08,11820
2024-10-09 00:00:00+05:30,515.3,520.87,513.87,515.11,12397
2024-10-10 00:00:00+05:30,515.12,520.87,515.12,519.82,2534
2024-10-11 00:00:00+05:30,519.92,520.38,515.01,516.58,15645
