date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,51.2,51.96,50.41,51.8,2389609
2024-06-04 00:00:00+05:30,53.35,53.35,46.97,49.41,1817869
2024-06-05 00:00:00+05:30,50.9,50.9,47.22,49.67,783061
2024-06-06 00:00:00+05:30,51.15,51.15,49.04,50.05,342731
2024-06-07 00:00:00+05:30,50.05,50.65,49.58,50.6,1816562
2024-06-10 00:00:00+05:30,50.68,50.94,50.3,50.48,501135
2024-06-11 00:00:00+05:30,52.0,52.0,49.97,50.49,11364525
2024-06-12 00:00:00+05:30,49.49,50.94,49.0,50.51,12536112
2024-06-13 00:00:00+05:30,52.05,52.05,50.52,50.59,140702
2024-06-14 00:00:00+05:30,50.67,51.03,50.36,50.69,121231
2024-06-18 00:00:00+05:30,52.2,52.2,50.47,51.08,12631623
2024-06-19 00:00:00+05:30,50.79,52.67,50.79,52.08,588214
2024-06-20 00:00:00+05:30,52.25,52.75,52.02,52.47,173082
2024-06-21 00:00:00+05:30,52.47,52.61,52.01,52.39,219184
2024-06-24 00:00:00+05:30,51.87,53.52,51.87,52.37,146019
2024-06-25 00:00:00+05:30,52.54,53.47,52.54,53.3,1274744
2024-06-26 00:00:00+05:30,53.44,53.69,53.08,53.56,2390710
2024-06-27 00:00:00+05:30,53.74,53.9,53.31,53.53,563720
2024-06-28 00:00:00+05:30,53.86,54.17,53.08,53.22,300781
2024-07-01 00:00:00+05:30,54.13,54.13,52.98,53.43,210938
2024-07-02 00:00:00+05:30,54.4,54.4,52.69,53.04,935281
2024-07-03 00:00:00+05:30,54.3,54.3,53.07,53.82,2236238
2024-07-04 00:00:00+05:30,54.2,54.5,53.61,53.87,151125
2024-07-05 00:00:00+05:30,54.5,54.5,53.11,53.35,499596
2024-07-08 00:00:00+05:30,53.0,54.28,52.35,53.17,1172448
2024-07-09 00:00:00+05:30,54.05,54.05,52.98,53.29,153595
2024-07-10 00:00:00+05:30,54.3,54.3,52.8,53.01,421102
2024-07-11 00:00:00+05:30,53.75,53.75,52.58,53.0,521659
2024-07-12 00:00:00+05:30,53.11,53.49,52.8,53.0,486776
2024-07-15 00:00:00+05:30,53.41,53.49,52.95,53.26,354796
2024-07-16 00:00:00+05:30,53.39,53.5,53.13,53.2,207665
2024-07-18 00:00:00+05:30,53.22,54.2,52.97,53.33,1109953
2024-07-19 00:00:00+05:30,53.33,53.35,52.88,52.96,146011
2024-07-22 00:00:00+05:30,53.95,53.95,52.5,52.95,3778510
2024-07-23 00:00:00+05:30,53.42,53.42,52.2,52.62,267877
2024-07-24 00:00:00+05:30,52.58,52.69,51.63,52.08,2278977
2024-07-25 00:00:00+05:30,51.91,52.04,51.36,51.75,175080
2024-07-26 00:00:00+05:30,51.65,52.12,51.4,51.94,5341254
2024-07-29 00:00:00+05:30,52.5,53.07,52.0,52.22,435642
2024-07-30 00:00:00+05:30,52.45,52.72,52.01,52.33,198914
2024-07-31 00:00:00+05:30,52.58,52.59,52.03,52.35,1257044
2024-08-01 00:00:00+05:30,53.9,53.9,52.1,52.41,110921
2024-08-02 00:00:00+05:30,53.45,54.0,51.92,52.06,1397192
2024-08-05 00:00:00+05:30,53.6,53.6,50.45,50.92,2423508
2024-08-06 00:00:00+05:30,51.95,51.95,50.48,50.58,192671
2024-08-07 00:00:00+05:30,49.9,51.32,49.05,50.85,2515409
2024-08-08 00:00:00+05:30,51.85,51.85,50.61,50.86,136592
2024-08-09 00:00:00+05:30,51.75,51.75,50.91,51.33,1139188
2024-08-12 00:00:00+05:30,52.85,52.85,50.9,51.46,127984
2024-08-13 00:00:00+05:30,53.0,53.0,50.69,50.75,163977
2024-08-14 00:00:00+05:30,50.8,51.22,50.52,50.64,122311
2024-08-16 00:00:00+05:30,50.81,51.49,50.64,51.33,297494
2024-08-19 00:00:00+05:30,51.8,51.94,51.11,51.29,83800
2024-08-20 00:00:00+05:30,52.85,52.85,51.21,51.69,3121283
2024-08-21 00:00:00+05:30,51.7,52.04,51.14,51.5,1629061
2024-08-22 00:00:00+05:30,51.56,51.96,51.56,51.84,251653
2024-08-23 00:00:00+05:30,52.24,52.25,51.65,51.73,88469
2024-08-26 00:00:00+05:30,52.25,52.25,51.75,52.02,93129
2024-08-27 00:00:00+05:30,53.6,53.6,50.55,52.06,247202
2024-08-28 00:00:00+05:30,52.08,52.36,51.95,52.03,321033
