date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,135.0,137.45,133.15,135.55,34037315
2024-06-04 00:00:00+05:30,135.85,135.85,110.2,116.35,49514325
2024-06-05 00:00:00+05:30,119.0,120.6,109.55,116.95,39376239
2024-06-06 00:00:00+05:30,119.0,122.25,117.4,117.85,35581829
2024-06-07 00:00:00+05:30,118.6,121.4,117.9,121.05,15029332
2024-06-10 00:00:00+05:30,122.0,125.45,122.0,123.34,16610021
2024-06-11 00:00:00+05:30,124.25,124.33,122.4,123.01,11182412
2024-06-12 00:00:00+05:30,123.7,125.3,122.63,124.06,17063890
2024-06-13 00:00:00+05:30,125.0,126.2,124.05,124.51,10097817
2024-06-14 00:00:00+05:30,124.9,126.39,124.11,125.76,11737543
2024-06-18 00:00:00+05:30,124.9,124.9,121.82,122.22,19283739
2024-06-19 00:00:00+05:30,122.8,124.05,121.38,122.89,12551561
2024-06-20 00:00:00+05:30,122.8,123.95,122.56,122.98,8706010
2024-06-21 00:00:00+05:30,123.5,123.65,121.1,121.6,9886490
2024-06-24 00:00:00+05:30,121.4,121.45,119.37,120.51,10217149
2024-06-25 00:00:00+05:30,121.25,123.6,119.75,123.3,12003890
2024-06-26 00:00:00+05:30,123.0,124.46,122.24,123.9,10064059
2024-06-27 00:00:00+05:30,123.11,123.76,119.88,120.89,10452879
2024-06-28 00:00:00+05:30,121.68,123.6,120.1,120.51,9504554
2024-07-01 00:00:00+05:30,120.8,121.4,119.91,121.01,5636426
2024-07-02 00:00:00+05:30,121.24,121.55,117.3,117.8,11457472
2024-07-03 00:00:00+05:30,118.5,119.3,117.89,118.3,8004538
2024-07-04 00:00:00+05:30,119.0,119.3,117.5,118.64,8346070
2024-07-05 00:00:00+05:30,118.9,121.45,118.55,120.45,8038993
2024-07-08 00:00:00+05:30,120.6,121.2,119.5,120.96,7363153
2024-07-09 00:00:00+05:30,121.4,125.9,120.96,123.66,20126207
2024-07-10 00:00:00+05:30,124.0,124.3,119.0,122.47,12071610
2024-07-11 00:00:00+05:30,122.7,122.85,120.4,121.98,7049342
2024-07-12 00:00:00+05:30,122.0,124.2,119.65,120.29,7470847
2024-07-15 00:00:00+05:30,120.53,125.05,119.7,123.72,19866405
2024-07-16 00:00:00+05:30,123.99,124.45,121.81,123.03,7294961
2024-07-18 00:00:00+05:30,123.02,125.09,121.5,123.64,16067348
2024-07-19 00:00:00+05:30,123.64,123.89,120.5,120.89,7642979
2024-07-22 00:00:00+05:30,120.0,122.45,118.3,122.01,7851832
2024-07-23 00:00:00+05:30,122.2,122.29,117.0,119.29,7691292
2024-07-24 00:00:00+05:30,119.99,122.46,119.39,120.34,8868180
2024-07-25 00:00:00+05:30,119.81,120.59,118.5,118.78,5203991
2024-07-26 00:00:00+05:30,118.85,120.39,118.21,119.37,7556629
2024-07-29 00:00:00+05:30,120.85,126.16,120.4,125.14,24362585
2024-07-30 00:00:00+05:30,125.75,126.96,125.02,125.82,7669460
2024-07-31 00:00:00+05:30,126.0,126.45,125.03,125.8,5064752
2024-08-01 00:00:00+05:30,126.53,126.65,125.35,126.11,7225687
2024-08-02 00:00:00+05:30,124.06,128.2,122.55,126.24,14492663
2024-08-05 00:00:00+05:30,123.6,124.5,119.5,122.35,20938121
2024-08-06 00:00:00+05:30,123.1,124.9,118.21,118.93,8017235
2024-08-07 00:00:00+05:30,122.0,122.25,118.3,118.87,7853002
2024-08-08 00:00:00+05:30,118.9,121.4,117.25,119.38,10734357
2024-08-09 00:00:00+05:30,119.64,121.15,117.95,118.95,8235427
