date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,505.31,529.59,505.31,520.69,339878
2024-06-04 00:00:00+05:30,523.01,523.01,474.5,494.11,666538
2024-06-05 00:00:00+05:30,490.3,514.98,480.08,501.98,194509
2024-06-06 00:00:00+05:30,504.53,508.27,500.5,503.01,193243
2024-06-07 00:00:00+05:30,512.29,512.29,498.01,508.62,28403
2024-06-10 00:00:00+05:30,508.84,514.6,507.5,508.82,165271
2024-06-11 00:00:00+05:30,508.82,514.47,507.16,508.81,19685
2024-06-12 00:00:00+05:30,508.99,514.25,508.63,511.69,138456
2024-06-13 00:00:00+05:30,512.18,514.78,509.66,511.54,29319
2024-06-14 00:00:00+05:30,526.9,526.9,508.55,512.49,34335
2024-06-18 00:00:00+05:30,512.5,517.58,511.45,514.64,318748
2024-06-19 00:00:00+05:30,518.5,532.9,514.41,528.37,414969
2024-06-20 00:00:00+05:30,528.69,532.05,526.52,531.17,994874
2024-06-21 00:00:00+05:30,531.16,531.4,525.88,529.23,25965
2024-06-24 00:00:00+05:30,513.35,530.99,513.35,528.64,229438
2024-06-25 00:00:00+05:30,532.76,539.63,530.0,538.51,32016
2024-06-26 00:00:00+05:30,535.65,543.1,533.13,541.98,32056
2024-06-27 00:00:00+05:30,541.46,545.49,538.8,541.41,37201
2024-06-28 00:00:00+05:30,546.69,546.7,535.96,538.7,139969
2024-07-01 00:00:00+05:30,548.0,548.0,536.5,538.97,59147
2024-07-02 00:00:00+05:30,541.74,541.74,534.52,536.83,32848
2024-07-03 00:00:00+05:30,539.92,546.35,537.76,545.78,205327
2024-07-04 00:00:00+05:30,545.78,547.18,541.8,545.53,28190
2024-07-05 00:00:00+05:30,544.99,545.0,536.41,541.21,27839
2024-07-08 00:00:00+05:30,544.99,545.0,536.22,537.93,16767
2024-07-09 00:00:00+05:30,539.99,540.69,537.93,539.32,23287
2024-07-10 00:00:00+05:30,538.7,538.7,534.6,535.15,51695
2024-07-11 00:00:00+05:30,535.16,538.0,531.32,536.15,161441
2024-07-12 00:00:00+05:30,536.15,540.11,535.0,536.29,77367
2024-07-15 00:00:00+05:30,552.4,552.4,534.4,539.11,30867
2024-07-16 00:00:00+05:30,538.66,539.83,537.28,538.3,29649
2024-07-18 00:00:00+05:30,537.17,540.7,535.84,539.5,146322
2024-07-19 00:00:00+05:30,539.95,539.95,535.0,535.99,91185
2024-07-22 00:00:00+05:30,535.99,539.95,531.08,535.43,195241
2024-07-23 00:00:00+05:30,535.42,538.09,527.64,533.03,75629
2024-07-24 00:00:00+05:30,530.01,532.35,523.0,526.87,141995
2024-07-25 00:00:00+05:30,525.49,525.49,519.74,521.97,325713
2024-07-26 00:00:00+05:30,521.49,526.98,519.48,526.02,107143
2024-07-29 00:00:00+05:30,530.0,536.0,525.2,526.72,78595
2024-07-30 00:00:00+05:30,531.96,532.57,521.46,528.43,48586
2024-07-31 00:00:00+05:30,528.42,548.65,526.02,530.92,187081
