date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,143.05,145.05,141.25,142.3,52976
2024-06-04 00:00:00+05:30,142.3,143.0,133.05,139.8,44982
2024-06-05 00:00:00+05:30,139.8,142.9,137.05,141.15,15689
2024-06-06 00:00:00+05:30,140.0,145.35,139.8,141.45,59025
2024-06-07 00:00:00+05:30,142.2,149.0,142.0,145.35,94406
2024-06-10 00:00:00+05:30,147.75,149.6,145.31,146.19,27841
2024-06-11 00:00:00+05:30,146.55,149.0,144.0,145.78,45743
2024-06-12 00:00:00+05:30,146.55,150.11,145.5,146.71,35440
2024-06-13 00:00:00+05:30,147.55,152.0,145.67,148.15,65054
2024-06-14 00:00:00+05:30,148.15,151.4,148.15,149.82,56165
2024-06-18 00:00:00+05:30,151.28,151.28,146.12,147.59,35737
2024-06-19 00:00:00+05:30,148.4,149.5,146.0,147.22,18959
2024-06-20 00:00:00+05:30,147.23,152.0,147.23,149.87,70939
2024-06-21 00:00:00+05:30,150.7,159.0,150.64,153.8,186049
2024-06-24 00:00:00+05:30,152.4,155.99,150.01,153.43,62298
2024-06-25 00:00:00+05:30,154.2,154.9,148.37,149.03,50686
2024-06-26 00:00:00+05:30,150.0,155.0,149.61,151.95,250396
2024-06-27 00:00:00+05:30,151.55,153.25,147.6,149.35,104442
2024-06-28 00:00:00+05:30,150.1,152.0,148.6,149.98,51096
2024-07-01 00:00:00+05:30,150.6,158.4,149.93,157.03,159122
2024-07-02 00:00:00+05:30,157.2,166.5,156.4,161.95,346022
2024-07-03 00:00:00+05:30,162.35,162.45,154.56,155.81,108790
2024-07-04 00:00:00+05:30,156.11,162.8,155.47,157.34,109593
2024-07-05 00:00:00+05:30,157.5,178.02,157.5,172.52,496626
2024-07-08 00:00:00+05:30,171.99,176.52,168.32,169.68,204319
2024-07-09 00:00:00+05:30,170.3,174.0,168.2,169.63,111421
2024-07-10 00:00:00+05:30,173.0,173.0,160.73,167.12,83520
2024-07-11 00:00:00+05:30,165.6,174.99,165.6,171.22,121267
2024-07-12 00:00:00+05:30,170.3,171.79,167.0,168.78,41139
2024-07-15 00:00:00+05:30,167.5,170.04,162.01,165.51,54490
2024-07-16 00:00:00+05:30,167.95,172.68,165.15,166.05,88010
2024-07-18 00:00:00+05:30,166.0,169.48,161.38,163.2,74034
2024-07-19 00:00:00+05:30,163.19,164.18,157.1,158.43,55190
2024-07-22 00:00:00+05:30,158.43,166.76,154.05,164.53,57771
2024-07-23 00:00:00+05:30,163.95,163.95,149.03,157.57,153589
2024-07-24 00:00:00+05:30,158.55,182.59,158.55,176.05,430876
2024-07-25 00:00:00+05:30,174.91,174.91,168.1,169.24,131018
2024-07-26 00:00:00+05:30,171.9,174.99,168.77,171.49,124009
2024-07-29 00:00:00+05:30,173.88,173.88,169.0,170.01,76872
2024-07-30 00:00:00+05:30,169.0,171.11,169.0,169.32,64365
2024-07-31 00:00:00+05:30,169.99,174.5,168.75,169.33,92027
2024-08-01 00:00:00+05:30,171.49,174.5,169.66,172.6,96426
2024-08-02 00:00:00+05:30,168.7,172.19,167.05,168.08,67346
2024-08-05 00:00:00+05:30,161.36,165.51,155.6,156.29,139606
2024-08-06 00:00:00+05:30,158.65,173.0,150.2,154.52,506996
2024-08-07 00:00:00+05:30,155.99,157.64,150.0,150.74,183549
2024-08-08 00:00:00+05:30,152.35,152.35,147.05,148.3,101902
2024-08-09 00:00:00+05:30,149.8,151.57,146.99,148.77,62187
2024-08-12 00:00:00+05:30,146.2,150.88,146.2,149.51,80286
2024-08-13 00:00:00+05:30,149.51,150.29,147.25,148.31,50280
2024-08-14 00:00:00+05:30,149.1,151.0,145.5,145.81,28642
2024-08-16 00:00:00+05:30,145.5,148.09,142.42,143.82,60213
2024-08-19 00:00:00+05:30,143.8,146.29,143.05,144.08,57155
2024-08-20 00:00:00+05:30,146.8,146.8,142.11,144.48,61518
2024-08-21 00:00:00+05:30,145.2,149.16,144.25,147.48,97154
2024-08-22 00:00:00+05:30,148.0,151.8,146.52,149.13,112894
