date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,45.95,46.55,43.7,44.55,67131
2024-06-04 00:00:00+05:30,44.6,44.6,39.9,41.4,201490
2024-06-05 00:00:00+05:30,42.05,42.6,40.1,42.2,116537
2024-06-06 00:00:00+05:30,42.85,44.15,42.65,43.75,68423
2024-06-07 00:00:00+05:30,43.9,45.5,43.25,44.35,83007
2024-06-10 00:00:00+05:30,45.25,45.79,41.15,43.29,258786
2024-06-11 00:00:00+05:30,43.87,44.0,42.88,43.6,60919
2024-06-12 00:00:00+05:30,43.97,45.28,43.31,44.73,174144
2024-06-13 00:00:00+05:30,44.9,45.0,43.56,43.85,67496
2024-06-14 00:00:00+05:30,43.85,44.75,43.65,43.87,106659
2024-06-18 00:00:00+05:30,44.0,47.4,44.0,46.83,412875
2024-06-19 00:00:00+05:30,46.78,49.7,46.5,48.07,505467
2024-06-20 00:00:00+05:30,48.0,51.95,47.31,50.75,622915
2024-06-21 00:00:00+05:30,50.75,51.2,47.97,49.17,404649
2024-06-24 00:00:00+05:30,49.35,49.9,48.43,48.71,152179
2024-06-25 00:00:00+05:30,48.71,52.01,48.6,49.17,521323
2024-06-26 00:00:00+05:30,49.17,49.95,48.24,48.68,107156
2024-06-27 00:00:00+05:30,48.68,49.91,47.3,47.87,235245
2024-06-28 00:00:00+05:30,47.87,48.37,46.7,47.16,188966
2024-07-01 00:00:00+05:30,48.38,48.38,46.91,47.25,96246
2024-07-02 00:00:00+05:30,48.3,49.85,47.5,48.8,373744
2024-07-03 00:00:00+05:30,49.19,49.49,48.1,48.48,91712
2024-07-04 00:00:00+05:30,49.26,49.26,47.75,48.44,89415
2024-07-05 00:00:00+05:30,49.0,49.49,48.0,49.23,139067
2024-07-08 00:00:00+05:30,50.5,50.99,49.03,49.46,279262
2024-07-09 00:00:00+05:30,50.45,51.16,49.29,49.91,328140
2024-07-10 00:00:00+05:30,49.5,51.19,47.5,48.34,337154
2024-07-11 00:00:00+05:30,48.75,49.04,48.25,48.63,103781
2024-07-12 00:00:00+05:30,49.0,49.0,47.65,47.91,120711
2024-07-15 00:00:00+05:30,47.92,48.78,47.1,47.39,88697
2024-07-16 00:00:00+05:30,47.39,51.1,47.39,49.13,558818
2024-07-18 00:00:00+05:30,50.0,51.35,48.41,49.75,379930
2024-07-19 00:00:00+05:30,49.25,49.88,47.13,47.48,196201
2024-07-22 00:00:00+05:30,47.0,50.08,46.34,49.13,308136
2024-07-23 00:00:00+05:30,48.5,49.32,46.45,47.61,360372
2024-07-24 00:00:00+05:30,47.39,49.04,46.8,47.05,289079
2024-07-25 00:00:00+05:30,47.4,52.6,47.1,50.98,1142865
2024-07-26 00:00:00+05:30,51.0,52.04,50.61,51.72,391096
2024-07-29 00:00:00+05:30,51.95,57.87,51.5,56.63,3171661
2024-07-30 00:00:00+05:30,56.63,62.2,55.85,59.12,4948340
2024-07-31 00:00:00+05:30,59.8,62.47,58.27,60.4,3212671
2024-08-01 00:00:00+05:30,60.4,62.64,58.5,59.0,1034514
2024-08-02 00:00:00+05:30,56.95,59.5,56.0,57.88,633879
2024-08-05 00:00:00+05:30,56.49,56.65,53.5,54.28,814050
2024-08-06 00:00:00+05:30,55.99,58.37,53.5,54.04,675563
2024-08-07 00:00:00+05:30,54.99,56.18,54.19,54.97,263663
2024-08-08 00:00:00+05:30,54.0,57.3,54.0,55.09,213274
2024-08-09 00:00:00+05:30,55.25,56.49,54.72,55.34,122981
2024-08-12 00:00:00+05:30,54.3,56.5,53.8,54.09,271315
2024-08-13 00:00:00+05:30,54.5,55.78,53.75,53.92,260422
2024-08-14 00:00:00+05:30,54.8,57.5,53.4,55.54,306411
2024-08-16 00:00:00+05:30,57.06,57.39,54.6,55.31,324691
2024-08-19 00:00:00+05:30,55.45,58.78,55.21,57.78,621592
2024-08-20 00:00:00+05:30,57.78,58.87,57.78,58.39,270983
2024-08-21 00:00:00+05:30,58.65,61.05,57.96,60.39,1131005
2024-08-22 00:00:00+05:30,61.15,61.4,58.59,59.38,471974
2024-08-23 00:00:00+05:30,59.45,59.98,58.66,58.92,295962
2024-08-26 00:00:00+05:30,59.5,60.65,58.15,58.78,418392
2024-08-27 00:00:00+05:30,59.59,61.19,59.0,60.01,584749
2024-08-28 00:00:00+05:30,60.1,64.01,60.09,62.78,2902113
2024-08-29 00:00:00+05:30,63.0,64.5,61.12,61.84,1115331
2024-08-30 00:00:00+05:30,62.1,63.35,61.25,62.23,887453
2024-09-02 00:00:00+05:30,62.5,64.34,61.5,62.23,887276
2024-09-03 00:00:00+05:30,62.85,63.17,60.51,61.73,613752
2024-09-04 00:00:00+05:30,61.75,64.7,61.0,63.06,1433979
2024-09-05 00:00:00+05:30,63.35,65.96,63.35,64.03,1271819
2024-09-06 00:00:00+05:30,64.75,65.0,62.03,62.69,734460
