date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,71.7,71.7,70.85,70.95,887
2024-06-04 00:00:00+05:30,71.45,71.8,71.0,71.4,1354
2024-06-05 00:00:00+05:30,71.45,71.5,71.0,71.3,3430
2024-06-06 00:00:00+05:30,71.85,72.3,71.85,71.9,424
2024-06-07 00:00:00+05:30,75.0,75.0,70.15,71.75,648
2024-06-10 00:00:00+05:30,70.65,70.65,70.25,70.45,4821
2024-06-11 00:00:00+05:30,70.8,70.8,70.55,70.8,111
2024-06-12 00:00:00+05:30,71.05,71.1,70.65,71.1,1249
2024-06-13 00:00:00+05:30,71.25,71.25,69.8,70.8,1417
2024-06-14 00:00:00+05:30,70.8,70.8,70.4,70.45,253
2024-06-18 00:00:00+05:30,70.5,71.2,70.5,71.0,1122
2024-06-19 00:00:00+05:30,71.0,71.2,70.95,70.95,95
2024-06-20 00:00:00+05:30,71.0,71.35,71.0,71.35,315
2024-06-21 00:00:00+05:30,75.6,75.6,71.4,71.5,3170
2024-06-24 00:00:00+05:30,71.5,71.5,70.05,71.2,5479
2024-06-25 00:00:00+05:30,71.2,71.25,70.8,71.0,413
2024-06-26 00:00:00+05:30,71.0,71.0,70.7,70.8,181
2024-06-27 00:00:00+05:30,70.8,70.8,70.1,70.3,1149
2024-06-28 00:00:00+05:30,70.5,71.2,70.5,70.95,6275
2024-07-01 00:00:00+05:30,72.25,72.25,70.7,71.15,855
2024-07-02 00:00:00+05:30,71.15,72.45,70.6,71.3,1098
2024-07-03 00:00:00+05:30,71.3,71.6,70.9,71.45,310
2024-07-04 00:00:00+05:30,71.5,72.0,71.45,71.65,532
2024-07-05 00:00:00+05:30,72.95,72.95,71.5,71.9,1118
2024-07-08 00:00:00+05:30,72.85,72.85,71.7,71.95,210
2024-07-09 00:00:00+05:30,71.9,72.1,71.6,72.1,604
2024-07-10 00:00:00+05:30,72.1,72.2,71.65,72.2,401
2024-07-12 00:00:00+05:30,73.0,73.95,72.3,72.7,3802
2024-07-15 00:00:00+05:30,72.7,73.1,72.55,72.9,1964
2024-07-16 00:00:00+05:30,72.9,73.7,72.4,72.8,767
2024-07-18 00:00:00+05:30,73.2,73.6,73.0,73.55,604
2024-07-19 00:00:00+05:30,74.5,74.5,73.0,73.7,3119
2024-07-22 00:00:00+05:30,73.7,73.7,72.7,72.95,161
2024-07-23 00:00:00+05:30,72.6,72.9,70.65,70.8,1561
2024-07-24 00:00:00+05:30,70.8,70.8,69.3,69.35,889
2024-07-25 00:00:00+05:30,69.0,70.0,68.0,68.95,7453
2024-07-26 00:00:00+05:30,72.65,72.7,67.1,68.75,2975
2024-07-29 00:00:00+05:30,69.95,70.5,68.4,68.8,503
2024-07-30 00:00:00+05:30,69.7,70.3,68.15,68.15,1464
2024-07-31 00:00:00+05:30,68.2,69.1,68.1,68.7,4197
2024-08-01 00:00:00+05:30,68.9,69.35,68.9,69.35,91
