date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,251.05,254.05,240.15,249.4,5378
2024-06-04 00:00:00+05:30,254.0,254.0,236.0,245.95,16031
2024-06-05 00:00:00+05:30,244.55,245.95,237.15,240.85,4700
2024-06-06 00:00:00+05:30,244.25,248.6,241.45,245.85,6912
2024-06-07 00:00:00+05:30,247.1,249.05,245.1,246.7,4832
2024-06-10 00:00:00+05:30,247.01,254.0,243.62,251.03,6079
2024-06-11 00:00:00+05:30,252.0,252.05,243.4,248.6,4981
2024-06-12 00:00:00+05:30,248.6,250.17,244.01,245.61,5089
2024-06-13 00:00:00+05:30,246.9,248.5,241.82,243.18,7446
2024-06-14 00:00:00+05:30,244.5,248.67,241.0,242.72,5471
2024-06-18 00:00:00+05:30,242.72,248.79,240.0,243.64,3895
2024-06-19 00:00:00+05:30,240.25,245.01,232.25,240.43,18949
2024-06-20 00:00:00+05:30,240.0,247.59,237.6,244.07,5383
2024-06-21 00:00:00+05:30,244.07,247.98,241.51,244.31,2959
2024-06-24 00:00:00+05:30,250.0,268.6,250.0,262.9,52253
2024-06-25 00:00:00+05:30,272.0,272.0,251.3,256.14,14404
2024-06-26 00:00:00+05:30,260.0,261.0,243.6,249.21,13841
2024-06-27 00:00:00+05:30,251.9,253.18,244.0,246.88,7503
2024-06-28 00:00:00+05:30,249.0,255.0,245.0,245.22,5352
2024-07-01 00:00:00+05:30,253.0,253.0,246.24,250.62,6899
2024-07-02 00:00:00+05:30,250.62,257.73,245.0,246.1,9323
2024-07-03 00:00:00+05:30,245.35,251.0,245.35,248.19,4580
2024-07-04 00:00:00+05:30,248.0,253.0,246.0,251.77,7783
2024-07-05 00:00:00+05:30,251.76,251.76,246.0,248.44,10827
2024-07-08 00:00:00+05:30,246.25,253.25,246.25,246.64,3377
2024-07-09 00:00:00+05:30,250.22,251.18,245.88,247.05,4788
2024-07-10 00:00:00+05:30,250.0,250.0,241.25,245.26,5283
2024-07-11 00:00:00+05:30,253.0,264.0,247.72,249.75,4436
2024-07-12 00:00:00+05:30,246.0,253.2,246.0,246.36,3194
2024-07-15 00:00:00+05:30,252.0,252.0,246.1,246.71,5427
2024-07-16 00:00:00+05:30,250.08,251.49,246.0,246.44,2324
2024-07-18 00:00:00+05:30,246.4,248.49,246.4,247.22,886
2024-07-19 00:00:00+05:30,245.25,250.49,243.02,244.82,3155
2024-07-22 00:00:00+05:30,249.75,249.75,241.62,243.16,2634
2024-07-23 00:00:00+05:30,244.24,244.24,240.04,242.77,2870
2024-07-24 00:00:00+05:30,246.52,246.52,241.22,243.17,2010
2024-07-25 00:00:00+05:30,251.1,251.1,241.4,242.3,2766
2024-07-26 00:00:00+05:30,247.0,248.78,240.06,246.2,5790
2024-07-29 00:00:00+05:30,242.6,248.31,242.6,243.57,1808
2024-07-30 00:00:00+05:30,245.99,245.99,241.93,244.61,4921
2024-07-31 00:00:00+05:30,245.28,248.5,243.17,246.96,4681
2024-08-01 00:00:00+05:30,246.97,247.58,237.57,245.14,5256
2024-08-02 00:00:00+05:30,242.3,249.9,242.3,244.77,1738
2024-08-05 00:00:00+05:30,232.57,240.98,232.56,238.3,10274
2024-08-06 00:00:00+05:30,245.38,245.99,240.0,242.73,2555
2024-08-07 00:00:00+05:30,242.73,245.0,238.0,241.37,2140
2024-08-08 00:00:00+05:30,243.87,244.0,236.36,239.41,5611
2024-08-09 00:00:00+05:30,240.0,245.03,237.97,243.87,3328
2024-08-12 00:00:00+05:30,246.0,246.0,234.0,236.52,37865
2024-08-13 00:00:00+05:30,240.0,240.0,234.03,236.09,31028
2024-08-14 00:00:00+05:30,247.8,247.8,234.9,238.95,2140
2024-08-16 00:00:00+05:30,237.8,240.0,233.33,236.04,3588
2024-08-19 00:00:00+05:30,239.75,239.75,235.85,238.18,1692
