date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,53.95,53.95,51.2,51.4,763402
2024-06-04 00:00:00+05:30,51.5,51.5,45.85,48.15,1600546
2024-06-05 00:00:00+05:30,48.6,49.45,47.05,49.15,1284532
2024-06-06 00:00:00+05:30,49.9,52.5,49.9,52.0,1088166
2024-06-07 00:00:00+05:30,52.85,52.95,51.75,51.95,806508
2024-06-10 00:00:00+05:30,52.35,53.39,51.0,51.83,1692085
2024-06-11 00:00:00+05:30,51.86,53.39,51.6,52.03,2949746
2024-06-12 00:00:00+05:30,52.1,57.4,52.1,55.23,7405736
2024-06-13 00:00:00+05:30,56.7,59.99,55.73,58.39,8142960
2024-06-14 00:00:00+05:30,58.5,58.97,56.84,57.03,2016045
2024-06-18 00:00:00+05:30,57.8,57.87,56.28,56.55,1125264
2024-06-19 00:00:00+05:30,56.7,58.69,55.61,56.02,2411853
2024-06-20 00:00:00+05:30,56.55,56.78,55.67,55.82,1719191
2024-06-21 00:00:00+05:30,55.91,56.9,55.81,55.95,832568
2024-06-24 00:00:00+05:30,55.8,56.45,55.12,55.46,825606
2024-06-25 00:00:00+05:30,55.6,56.23,55.49,55.53,574672
2024-06-26 00:00:00+05:30,55.75,55.75,54.7,54.86,698479
2024-06-27 00:00:00+05:30,55.14,55.14,52.21,52.84,1191286
2024-06-28 00:00:00+05:30,53.15,54.23,52.78,52.87,1084748
2024-07-01 00:00:00+05:30,53.12,53.42,52.61,52.77,863154
2024-07-02 00:00:00+05:30,53.15,53.59,52.5,52.94,1137580
2024-07-03 00:00:00+05:30,52.98,53.24,51.9,51.97,1105030
2024-07-04 00:00:00+05:30,52.22,52.89,51.75,52.56,1192782
2024-07-05 00:00:00+05:30,52.26,52.99,52.26,52.62,989967
2024-07-08 00:00:00+05:30,52.67,53.3,51.91,52.01,955562
2024-07-09 00:00:00+05:30,52.23,52.84,51.9,52.08,737531
2024-07-10 00:00:00+05:30,52.28,52.34,51.1,51.96,686520
2024-07-11 00:00:00+05:30,52.19,52.3,51.71,51.9,909286
2024-07-12 00:00:00+05:30,52.2,52.55,51.5,51.9,813534
2024-07-15 00:00:00+05:30,52.14,52.5,51.31,51.76,1032799
2024-07-16 00:00:00+05:30,51.94,54.7,51.94,54.25,2873035
2024-07-18 00:00:00+05:30,55.24,56.65,54.86,55.69,3863625
2024-07-19 00:00:00+05:30,56.0,56.32,53.0,53.75,1572207
2024-07-22 00:00:00+05:30,55.0,63.0,53.61,60.39,18689814
2024-07-23 00:00:00+05:30,62.98,66.0,56.31,61.22,20180434
2024-07-24 00:00:00+05:30,62.14,63.95,61.7,62.55,4984218
2024-07-25 00:00:00+05:30,62.01,63.47,61.65,62.94,2849766
2024-07-26 00:00:00+05:30,63.05,63.6,61.81,62.28,2088696
2024-07-29 00:00:00+05:30,62.95,64.93,62.0,62.93,3043599
2024-07-30 00:00:00+05:30,62.97,64.45,62.6,62.83,1645423
2024-07-31 00:00:00+05:30,63.05,63.28,62.21,62.61,1370605
2024-08-01 00:00:00+05:30,63.48,63.48,59.43,60.29,1723613
2024-08-02 00:00:00+05:30,59.85,61.0,59.34,60.02,1500220
2024-08-05 00:00:00+05:30,57.35,58.74,55.8,56.69,3080109
2024-08-06 00:00:00+05:30,57.99,58.68,55.11,55.65,1476950
2024-08-07 00:00:00+05:30,56.91,59.26,56.32,58.93,1346128
2024-08-08 00:00:00+05:30,59.15,59.15,57.56,57.79,1006855
2024-08-09 00:00:00+05:30,58.67,60.67,58.2,60.36,1549866
2024-08-12 00:00:00+05:30,60.36,62.5,58.6,58.88,3576463
2024-08-13 00:00:00+05:30,60.0,62.5,59.86,60.71,3416205
2024-08-14 00:00:00+05:30,61.29,65.56,58.68,63.28,11415172
2024-08-16 00:00:00+05:30,65.0,65.5,59.5,60.2,7633954
2024-08-19 00:00:00+05:30,60.5,62.69,59.41,59.93,4586324
2024-08-20 00:00:00+05:30,61.0,61.54,59.56,59.96,4807237
2024-08-21 00:00:00+05:30,60.37,61.0,57.84,58.12,5894729
2024-08-22 00:00:00+05:30,58.36,59.15,57.84,57.98,3111083
2024-08-23 00:00:00+05:30,58.28,59.3,57.2,57.5,4217427
2024-08-26 00:00:00+05:30,57.79,59.0,56.78,57.47,3041159
2024-08-27 00:00:00+05:30,57.4,57.5,56.86,56.96,1462939
2024-08-28 00:00:00+05:30,57.03,58.61,56.82,57.96,2966544
2024-08-29 00:00:00+05:30,59.0,59.03,57.5,58.42,1354111
2024-08-30 00:00:00+05:30,60.19,61.8,58.21,58.52,6462067
2024-09-02 00:00:00+05:30,58.89,59.07,56.9,57.19,2240163
