date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,286.0,289.0,273.1,275.25,2887217
2024-06-04 00:00:00+05:30,277.95,291.65,261.1,271.0,6549557
2024-06-05 00:00:00+05:30,275.0,290.9,268.35,289.5,2703625
2024-06-06 00:00:00+05:30,290.9,296.4,286.2,287.95,1628407
2024-06-07 00:00:00+05:30,289.95,292.9,286.95,288.4,820759
2024-06-10 00:00:00+05:30,289.0,294.0,288.3,290.4,1027135
2024-06-11 00:00:00+05:30,292.0,295.75,286.05,287.15,923917
2024-06-12 00:00:00+05:30,287.15,288.85,283.2,286.05,619867
2024-06-13 00:00:00+05:30,286.05,288.7,283.3,284.25,363522
2024-06-14 00:00:00+05:30,285.55,285.7,279.95,280.55,688789
2024-06-18 00:00:00+05:30,280.55,291.4,280.55,282.75,1221842
2024-06-19 00:00:00+05:30,284.6,284.7,277.0,280.45,577050
2024-06-20 00:00:00+05:30,281.85,290.45,279.3,285.6,1133251
2024-06-21 00:00:00+05:30,288.0,294.25,284.55,285.85,1295267
2024-06-24 00:00:00+05:30,286.9,287.0,280.8,283.45,425555
2024-06-25 00:00:00+05:30,283.9,291.3,281.95,288.65,907493
2024-06-26 00:00:00+05:30,292.0,293.7,286.5,291.2,1300174
2024-06-27 00:00:00+05:30,295.0,306.4,286.1,295.8,5963999
2024-06-28 00:00:00+05:30,295.0,295.8,289.5,291.65,1423422
2024-07-01 00:00:00+05:30,293.25,300.6,288.2,294.3,1277635
2024-07-02 00:00:00+05:30,295.5,296.9,293.7,294.25,804231
2024-07-03 00:00:00+05:30,295.0,304.4,293.9,300.0,2016183
2024-07-04 00:00:00+05:30,303.2,305.6,297.4,298.9,992700
2024-07-05 00:00:00+05:30,298.9,299.1,292.1,294.0,910650
2024-07-08 00:00:00+05:30,294.05,295.25,283.5,285.5,1339262
2024-07-09 00:00:00+05:30,286.9,291.0,282.8,290.4,888441
2024-07-10 00:00:00+05:30,291.8,294.5,285.8,292.2,1148993
2024-07-11 00:00:00+05:30,293.65,296.7,288.8,293.8,628541
2024-07-12 00:00:00+05:30,294.2,295.85,290.85,294.25,735501
2024-07-15 00:00:00+05:30,300.0,301.0,296.1,299.95,1111981
2024-07-16 00:00:00+05:30,302.0,302.9,294.2,298.5,800445
2024-07-18 00:00:00+05:30,298.0,305.6,292.65,294.25,1029164
2024-07-19 00:00:00+05:30,292.0,299.95,287.2,288.95,1447669
2024-07-22 00:00:00+05:30,283.35,290.85,282.1,288.5,524514
2024-07-23 00:00:00+05:30,286.05,296.75,275.7,286.65,869428
2024-07-24 00:00:00+05:30,286.65,309.4,285.4,303.75,3827554
2024-07-25 00:00:00+05:30,302.9,311.0,300.15,308.95,2377250
2024-07-26 00:00:00+05:30,310.0,313.85,306.65,310.95,1778861
2024-07-29 00:00:00+05:30,313.7,315.7,306.95,309.7,1481430
2024-07-30 00:00:00+05:30,309.95,320.0,309.9,318.75,1899748
2024-07-31 00:00:00+05:30,319.05,320.4,312.0,313.95,803655
2024-08-01 00:00:00+05:30,316.05,317.7,310.2,317.1,1248012
2024-08-02 00:00:00+05:30,312.0,316.0,309.05,310.35,724235
2024-08-05 00:00:00+05:30,302.0,304.85,291.65,293.85,1237397
2024-08-06 00:00:00+05:30,296.75,305.5,292.25,293.25,922671
2024-08-07 00:00:00+05:30,296.35,303.0,293.05,300.95,504648
2024-08-08 00:00:00+05:30,300.75,302.9,296.65,297.55,317544
2024-08-09 00:00:00+05:30,299.25,300.0,293.1,293.85,358095
2024-08-12 00:00:00+05:30,291.85,297.85,289.95,291.65,547833
2024-08-13 00:00:00+05:30,285.0,292.0,278.65,285.5,1648781
2024-08-14 00:00:00+05:30,285.5,287.35,284.45,285.2,405863
2024-08-16 00:00:00+05:30,287.3,287.35,274.95,278.55,499918
2024-08-19 00:00:00+05:30,279.0,287.6,276.35,283.75,1030930
2024-08-20 00:00:00+05:30,284.0,286.0,280.65,285.1,390176
2024-08-21 00:00:00+05:30,288.0,290.85,286.0,288.2,412040
2024-08-22 00:00:00+05:30,289.95,290.95,284.0,284.95,340271
2024-08-23 00:00:00+05:30,287.0,287.0,283.1,284.25,398133
2024-08-26 00:00:00+05:30,284.9,286.15,282.5,284.8,370859
2024-08-27 00:00:00+05:30,284.8,285.15,283.05,283.55,377707
2024-08-28 00:00:00+05:30,284.0,285.95,280.0,280.45,298490
2024-08-29 00:00:00+05:30,280.0,282.75,276.3,277.25,342800
2024-08-30 00:00:00+05:30,278.8,281.8,277.45,278.4,626113
2024-09-02 00:00:00+05:30,279.2,280.6,275.05,276.55,222239
2024-09-03 00:00:00+05:30,277.5,279.5,273.55,276.1,345117
2024-09-04 00:00:00+05:30,273.55,281.95,273.05,277.2,389440
2024-09-05 00:00:00+05:30,279.0,286.8,279.0,285.65,1132992
2024-09-06 00:00:00+05:30,287.85,295.8,278.05,278.6,965878
2024-09-09 00:00:00+05:30,279.0,280.3,272.0,279.05,592146
2024-09-10 00:00:00+05:30,281.0,291.6,280.8,290.55,864552
2024-09-11 00:00:00+05:30,290.0,301.45,289.05,300.05,1910696
2024-09-12 00:00:00+05:30,301.0,318.9,298.9,315.1,4350147
2024-09-13 00:00:00+05:30,317.0,345.15,316.95,323.8,17505147
2024-09-16 00:00:00+05:30,326.4,334.0,317.85,329.8,2300733
2024-09-17 00:00:00+05:30,331.6,337.7,326.85,331.2,1721884
2024-09-18 00:00:00+05:30,331.5,341.0,323.6,337.75,1763824
2024-09-19 00:00:00+05:30,341.1,353.9,340.7,350.35,8702314
2024-09-20 00:00:00+05:30,353.0,360.0,345.5,357.45,2790881
2024-09-23 00:00:00+05:30,358.2,359.95,347.85,356.35,1388992
2024-09-24 00:00:00+05:30,355.8,358.0,351.3,355.65,813807
2024-09-25 00:00:00+05:30,355.65,371.9,353.15,367.15,3422414
2024-09-26 00:00:00+05:30,365.7,365.7,354.3,357.65,1480411
2024-09-27 00:00:00+05:30,357.65,357.65,344.1,351.35,1375450
2024-09-30 00:00:00+05:30,346.3,351.75,338.1,339.9,842245
2024-10-01 00:00:00+05:30,339.9,346.7,336.15,337.6,607545
2024-10-03 00:00:00+05:30,331.1,336.85,324.0,324.9,949460
2024-10-04 00:00:00+05:30,325.0,335.6,318.45,321.7,1366581
2024-10-07 00:00:00+05:30,332.0,332.0,308.05,310.05,1574302
2024-10-08 00:00:00+05:30,311.95,316.35,307.2,309.9,925662
2024-10-09 00:00:00+05:30,311.85,332.95,311.85,317.45,3001877
2024-10-10 00:00:00+05:30,320.0,322.95,312.6,314.4,806741
2024-10-11 00:00:00+05:30,316.0,321.5,312.45,315.5,530813
2024-10-14 00:00:00+05:30,317.7,319.75,311.0,313.25,353270
2024-10-15 00:00:00+05:30,314.25,317.3,312.85,314.2,1088706
2024-10-16 00:00:00+05:30,314.9,315.6,305.3,306.3,507823
