date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,699.0,699.0,670.25,680.2,585245
2024-06-04 00:00:00+05:30,684.0,684.0,638.2,648.0,1265262
2024-06-05 00:00:00+05:30,650.0,725.0,640.75,693.05,1382319
2024-06-06 00:00:00+05:30,700.05,714.4,695.5,708.1,686364
2024-06-07 00:00:00+05:30,717.0,722.0,701.9,705.35,694659
2024-06-10 00:00:00+05:30,709.9,733.3,704.55,715.1,1416208
2024-06-11 00:00:00+05:30,721.9,723.2,708.45,708.95,404234
2024-06-12 00:00:00+05:30,713.2,717.35,704.1,705.9,424158
2024-06-13 00:00:00+05:30,710.0,733.1,701.0,720.4,3198498
2024-06-14 00:00:00+05:30,727.95,749.9,716.05,728.0,1601287
2024-06-18 00:00:00+05:30,749.85,750.5,717.15,733.35,1096705
2024-06-19 00:00:00+05:30,735.0,833.0,733.1,814.8,8569691
2024-06-20 00:00:00+05:30,814.8,823.0,791.6,802.6,2955505
2024-06-21 00:00:00+05:30,803.95,805.6,778.65,783.7,981984
2024-06-24 00:00:00+05:30,770.05,791.3,767.25,772.8,740385
2024-06-25 00:00:00+05:30,786.4,794.75,765.0,767.5,761619
2024-06-26 00:00:00+05:30,770.0,775.25,759.4,761.5,327919
2024-06-27 00:00:00+05:30,765.0,767.0,741.55,753.4,500042
2024-06-28 00:00:00+05:30,753.1,775.0,752.2,763.75,940955
2024-07-01 00:00:00+05:30,765.0,774.0,758.15,768.75,678232
2024-07-02 00:00:00+05:30,769.95,770.0,747.75,762.4,363006
2024-07-03 00:00:00+05:30,766.0,767.5,751.0,753.2,293142
2024-07-04 00:00:00+05:30,759.9,767.7,754.05,761.05,358030
2024-07-05 00:00:00+05:30,762.0,767.5,754.3,759.05,408720
2024-07-08 00:00:00+05:30,760.55,790.0,755.15,779.05,1211541
2024-07-09 00:00:00+05:30,781.9,800.0,770.0,773.55,1150532
2024-07-10 00:00:00+05:30,782.0,782.0,746.35,768.2,538085
2024-07-11 00:00:00+05:30,772.0,790.8,768.0,781.85,555618
2024-07-12 00:00:00+05:30,789.7,807.6,785.1,797.15,1426232
2024-07-15 00:00:00+05:30,800.0,803.4,788.05,792.85,691110
2024-07-16 00:00:00+05:30,792.0,805.1,790.0,793.75,594317
2024-07-18 00:00:00+05:30,793.6,804.95,783.05,796.3,904153
2024-07-19 00:00:00+05:30,791.5,793.95,764.05,779.55,391447
2024-07-22 00:00:00+05:30,764.25,792.75,764.25,788.0,450963
2024-07-23 00:00:00+05:30,789.9,795.95,743.0,757.25,653198
2024-07-24 00:00:00+05:30,755.0,786.0,755.0,782.35,314014
2024-07-25 00:00:00+05:30,778.05,790.0,764.65,766.55,277709
2024-07-26 00:00:00+05:30,770.0,788.9,764.65,780.2,243512
2024-07-29 00:00:00+05:30,791.7,859.95,789.3,843.1,2928895
2024-07-30 00:00:00+05:30,843.1,849.05,820.15,823.65,436607
2024-07-31 00:00:00+05:30,828.0,833.1,819.0,820.9,247376
2024-08-01 00:00:00+05:30,825.0,828.9,792.0,796.5,342928
2024-08-02 00:00:00+05:30,788.05,798.3,758.05,767.3,879835
2024-08-05 00:00:00+05:30,749.0,767.3,733.45,751.9,587092
2024-08-06 00:00:00+05:30,759.95,780.0,747.45,750.9,340829
2024-08-07 00:00:00+05:30,760.0,777.5,748.05,758.7,284881
2024-08-08 00:00:00+05:30,759.0,783.25,755.75,763.3,313923
2024-08-09 00:00:00+05:30,770.9,785.0,767.1,778.35,257372
2024-08-12 00:00:00+05:30,767.1,807.5,767.1,798.6,580547
2024-08-13 00:00:00+05:30,814.0,814.0,774.0,776.2,603562
2024-08-14 00:00:00+05:30,779.45,783.8,743.45,750.1,486956
2024-08-16 00:00:00+05:30,754.0,764.8,746.9,761.2,309015
2024-08-19 00:00:00+05:30,766.0,794.0,759.4,773.65,446050
2024-08-20 00:00:00+05:30,774.0,807.85,761.6,803.2,690381
2024-08-21 00:00:00+05:30,802.45,824.45,800.0,816.0,703362
2024-08-22 00:00:00+05:30,816.0,829.0,803.55,807.85,309963
2024-08-23 00:00:00+05:30,810.85,823.5,808.85,815.0,331303
