date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,512.7,516.0,493.1,504.9,6117134
2024-06-04 00:00:00+05:30,504.9,504.9,429.2,455.45,10982923
2024-06-05 00:00:00+05:30,462.95,496.5,450.8,491.05,9047361
2024-06-06 00:00:00+05:30,493.65,536.7,492.1,527.85,15257519
2024-06-07 00:00:00+05:30,532.0,533.9,521.0,527.05,10807984
2024-06-10 00:00:00+05:30,530.0,536.5,522.35,525.8,7592659
2024-06-11 00:00:00+05:30,525.0,540.65,523.0,528.85,6050148
2024-06-12 00:00:00+05:30,530.4,546.0,529.8,540.7,8303195
2024-06-13 00:00:00+05:30,549.9,549.9,541.15,542.3,7311854
2024-06-14 00:00:00+05:30,545.0,547.9,539.2,542.25,4633973
2024-06-18 00:00:00+05:30,544.7,566.4,543.2,564.55,9249847
2024-06-19 00:00:00+05:30,567.0,567.35,549.3,560.35,5371061
2024-06-20 00:00:00+05:30,561.05,576.2,558.55,572.25,6213481
2024-06-21 00:00:00+05:30,574.9,576.0,567.0,569.7,4370512
2024-06-24 00:00:00+05:30,567.0,576.85,557.35,573.85,3836291
2024-06-25 00:00:00+05:30,575.0,620.35,574.55,579.65,41296482
2024-06-26 00:00:00+05:30,582.0,589.0,566.35,568.1,10419619
2024-06-27 00:00:00+05:30,568.1,573.4,557.25,566.25,5425029
2024-06-28 00:00:00+05:30,566.95,575.5,559.2,564.5,8329177
2024-07-01 00:00:00+05:30,567.25,572.75,563.0,569.4,3408403
2024-07-02 00:00:00+05:30,571.65,572.55,559.6,564.5,3063083
2024-07-03 00:00:00+05:30,565.4,571.75,560.05,568.9,4377676
2024-07-04 00:00:00+05:30,570.0,570.7,563.55,566.2,2424207
2024-07-05 00:00:00+05:30,569.05,571.0,565.0,567.95,2043238
2024-07-08 00:00:00+05:30,570.0,576.4,565.1,571.45,2684664
2024-07-09 00:00:00+05:30,572.4,585.5,567.7,578.45,7274064
2024-07-10 00:00:00+05:30,580.95,580.95,549.05,567.45,6939639
2024-07-11 00:00:00+05:30,569.3,569.95,562.15,563.45,1798542
2024-07-12 00:00:00+05:30,563.45,564.9,555.6,559.05,1898237
2024-07-15 00:00:00+05:30,561.3,568.0,558.55,562.65,2958990
2024-07-16 00:00:00+05:30,564.2,569.2,554.65,556.6,2607256
2024-07-18 00:00:00+05:30,556.6,557.35,547.55,555.7,3274009
