date,open,high,low,close,volume
2024-07-01 00:00:00+05:30,82.16,82.2,81.0,81.14,27599969
2024-07-02 00:00:00+05:30,81.34,81.41,78.45,78.89,39049354
2024-07-03 00:00:00+05:30,79.49,81.04,77.85,80.88,75104560
2024-07-04 00:00:00+05:30,81.47,82.1,80.14,81.17,27153022
2024-07-05 00:00:00+05:30,81.0,82.07,80.61,81.19,28720522
2024-07-08 00:00:00+05:30,81.18,81.35,79.46,79.76,32209972
2024-07-09 00:00:00+05:30,79.9,80.4,79.05,79.19,15949548
2024-07-10 00:00:00+05:30,79.2,79.34,77.61,78.21,37403807
2024-07-11 00:00:00+05:30,78.93,79.09,78.1,78.22,19229318
2024-07-12 00:00:00+05:30,78.22,79.35,78.11,78.27,17319739
2024-07-15 00:00:00+05:30,78.3,78.8,77.61,78.16,22131587
2024-07-16 00:00:00+05:30,78.2,78.66,77.85,77.95,17388331
2024-07-18 00:00:00+05:30,77.96,78.41,77.65,77.74,13770410
2024-07-19 00:00:00+05:30,77.74,77.88,75.85,76.02,21274463
2024-07-22 00:00:00+05:30,75.94,78.04,75.02,77.59,32277103
2024-07-23 00:00:00+05:30,77.99,77.99,74.6,76.59,26763235
2024-07-24 00:00:00+05:30,76.55,77.04,75.05,75.66,45553498
2024-07-25 00:00:00+05:30,75.0,75.34,74.6,74.66,32863157
2024-07-26 00:00:00+05:30,73.51,74.94,72.4,74.48,48815501
2024-07-29 00:00:00+05:30,73.69,75.15,73.05,74.83,62891458
2024-07-30 00:00:00+05:30,74.92,76.23,74.61,76.04,58912783
2024-07-31 00:00:00+05:30,76.29,76.29,75.47,75.99,32430765
2024-08-01 00:00:00+05:30,76.05,76.46,75.07,75.39,23506982
2024-08-02 00:00:00+05:30,75.0,75.0,74.11,74.31,22069106
2024-08-05 00:00:00+05:30,72.99,73.4,71.6,72.01,53497863
2024-08-06 00:00:00+05:30,72.59,73.43,71.56,71.76,25569309
2024-08-07 00:00:00+05:30,73.0,73.0,71.97,72.53,25523344
2024-08-08 00:00:00+05:30,72.55,72.95,71.91,72.03,15757882
2024-08-09 00:00:00+05:30,72.55,73.7,72.49,72.86,17044000
2024-08-12 00:00:00+05:30,72.51,72.78,71.66,71.79,45157967
2024-08-13 00:00:00+05:30,72.0,72.44,71.1,71.37,19218547
2024-08-14 00:00:00+05:30,71.38,71.49,70.43,70.6,28682414
2024-08-16 00:00:00+05:30,71.5,72.1,70.9,71.96,26680020
2024-08-19 00:00:00+05:30,72.0,72.38,71.6,72.01,27826873
2024-08-20 00:00:00+05:30,72.06,73.7,72.06,73.35,26347248
2024-08-21 00:00:00+05:30,73.34,73.96,73.0,73.63,25814553
2024-08-22 00:00:00+05:30,74.28,75.74,73.89,75.36,37149425
2024-08-23 00:00:00+05:30,75.78,75.79,74.14,74.42,22318922
2024-08-26 00:00:00+05:30,74.87,75.05,73.91,74.11,22380103
2024-08-27 00:00:00+05:30,74.68,74.83,73.8,74.58,17028051
2024-08-28 00:00:00+05:30,74.6,75.0,73.55,74.09,19032559
2024-08-29 00:00:00+05:30,73.99,74.21,72.94,73.23,18467829
2024-08-30 00:00:00+05:30,73.35,74.89,73.35,73.84,29308288
2024-09-02 00:00:00+05:30,73.65,75.54,73.32,75.01,38246700
2024-09-03 00:00:00+05:30,75.7,75.7,75.0,75.07,20215749
2024-09-04 00:00:00+05:30,73.0,74.84,73.0,74.65,25293580
2024-09-05 00:00:00+05:30,75.24,75.53,74.67,75.04,16002781
2024-09-06 00:00:00+05:30,75.01,75.24,73.41,73.66,26014662
2024-09-09 00:00:00+05:30,73.59,74.18,72.1,72.62,49362433
2024-09-10 00:00:00+05:30,72.86,73.4,72.0,72.59,25488563
2024-09-11 00:00:00+05:30,72.59,72.74,71.36,71.52,33391591
2024-09-12 00:00:00+05:30,71.83,72.87,71.83,72.77,18753243
2024-09-13 00:00:00+05:30,73.0,74.05,72.77,73.42,20106335
2024-09-16 00:00:00+05:30,73.64,74.53,73.36,73.74,20414424
2024-09-17 00:00:00+05:30,73.8,73.85,73.01,73.28,14295708
2024-09-18 00:00:00+05:30,73.28,73.75,72.08,72.79,56372959
2024-09-19 00:00:00+05:30,73.01,74.25,71.16,73.82,41634848
2024-09-20 00:00:00+05:30,74.55,74.63,72.56,72.83,42448766
2024-09-23 00:00:00+05:30,73.2,74.15,72.83,74.02,29453200
2024-09-24 00:00:00+05:30,74.25,74.44,73.5,73.68,20250872
2024-09-25 00:00:00+05:30,73.63,73.95,72.56,73.02,19453333
2024-09-26 00:00:00+05:30,73.8,74.9,72.36,74.03,43007644
2024-09-27 00:00:00+05:30,74.02,74.89,73.8,74.19,34152920
2024-09-30 00:00:00+05:30,75.0,76.07,74.09,74.35,54887845
2024-10-01 00:00:00+05:30,74.55,75.1,73.25,73.44,20008192
2024-10-03 00:00:00+05:30,72.7,73.13,71.42,71.98,28487090
2024-10-04 00:00:00+05:30,72.0,72.84,71.25,71.83,23631085
2024-10-07 00:00:00+05:30,72.45,72.81,70.41,72.22,33502798
2024-10-08 00:00:00+05:30,72.15,73.25,71.75,73.13,28603943
2024-10-09 00:00:00+05:30,73.38,73.74,71.8,72.39,120779369
2024-10-10 00:00:00+05:30,72.24,73.66,72.24,73.14,25885296
2024-10-11 00:00:00+05:30,73.01,73.13,71.88,72.37,18820393
2024-10-14 00:00:00+05:30,72.68,73.2,72.38,72.94,21893396
2024-10-15 00:00:00+05:30,72.9,73.08,72.51,72.74,10389342
2024-10-16 00:00:00+05:30,72.5,73.08,72.0,72.22,16787404
2024-10-17 00:00:00+05:30,72.22,72.57,71.6,71.74,11642217
2024-10-18 00:00:00+05:30,71.6,72.07,71.0,71.57,17860612
2024-10-21 00:00:00+05:30,71.56,72.03,70.06,70.4,27168829
2024-10-22 00:00:00+05:30,70.29,71.0,68.05,68.32,31369822
2024-10-23 00:00:00+05:30,68.3,68.69,65.8,66.58,52678039
2024-10-24 00:00:00+05:30,66.58,69.07,66.55,68.05,35558564
2024-10-25 00:00:00+05:30,67.9,67.9,65.11,65.5,64232367
2024-10-28 00:00:00+05:30,61.01,67.7,59.3,67.13,195250197
2024-10-29 00:00:00+05:30,66.19,67.99,65.71,67.6,52058227
2024-10-30 00:00:00+05:30,67.38,69.55,67.3,68.79,56784457
2024-10-31 00:00:00+05:30,69.0,70.59,65.51,65.93,123750951
2024-11-01 00:00:00+05:30,66.7,67.62,66.5,67.15,15377877
2024-11-04 00:00:00+05:30,67.49,67.49,65.4,65.83,52901289
2024-11-05 00:00:00+05:30,65.51,66.5,65.32,66.31,28723426
2024-11-06 00:00:00+05:30,66.6,67.14,66.15,66.89,31126506
2024-11-07 00:00:00+05:30,67.34,68.12,66.32,66.52,29672215
2024-11-08 00:00:00+05:30,66.52,66.68,65.31,65.63,24563138
2024-11-11 00:00:00+05:30,65.83,67.0,65.52,66.56,40876112
2024-11-12 00:00:00+05:30,66.99,67.19,66.0,66.24,19572073
2024-11-13 00:00:00+05:30,66.0,66.14,63.1,63.62,45002825
2024-11-14 00:00:00+05:30,64.01,64.85,63.01,63.41,28532246
2024-11-18 00:00:00+05:30,63.98,65.8,63.12,65.53,35353480
2024-11-19 00:00:00+05:30,65.54,66.5,64.18,64.62,21394881
2024-11-21 00:00:00+05:30,64.6,64.6,62.4,62.94,26554050
2024-11-22 00:00:00+05:30,63.0,64.81,63.0,64.15,18942154
2024-11-25 00:00:00+05:30,65.92,66.14,64.44,64.65,33418900
2024-11-26 00:00:00+05:30,64.9,65.36,64.4,65.14,16318615
2024-11-27 00:00:00+05:30,65.0,65.02,63.86,64.15,25860956
2024-11-28 00:00:00+05:30,64.21,64.95,64.15,64.26,21353214
2024-11-29 00:00:00+05:30,64.26,64.75,63.8,64.08,19663862
2024-12-02 00:00:00+05:30,64.08,65.16,63.82,64.39,14907199
2024-12-03 00:00:00+05:30,64.5,65.4,64.4,65.2,20416363
