date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,200.0,200.25,189.4,191.9,45427419
2024-06-04 00:00:00+05:30,190.0,190.0,154.0,167.45,87754131
2024-06-05 00:00:00+05:30,168.0,174.7,155.0,172.7,43855047
2024-06-06 00:00:00+05:30,176.5,182.0,175.75,178.3,22320317
2024-06-07 00:00:00+05:30,178.65,182.5,174.85,180.85,19795848
2024-06-10 00:00:00+05:30,182.25,182.7,178.0,178.55,14840898
2024-06-11 00:00:00+05:30,180.7,183.0,178.6,180.23,16956779
2024-06-12 00:00:00+05:30,180.45,186.14,179.92,182.58,20214465
2024-06-13 00:00:00+05:30,183.5,184.0,179.26,180.06,12309733
2024-06-14 00:00:00+05:30,180.26,182.3,177.5,179.11,15913225
2024-06-18 00:00:00+05:30,180.2,181.76,177.71,178.03,14305706
2024-06-19 00:00:00+05:30,178.76,178.79,173.22,175.78,10800398
2024-06-20 00:00:00+05:30,176.64,180.99,174.8,177.49,14018198
2024-06-21 00:00:00+05:30,178.25,191.0,178.25,187.54,94311893
2024-06-24 00:00:00+05:30,192.0,195.4,188.4,189.64,35818533
2024-06-25 00:00:00+05:30,190.4,190.8,184.5,185.05,16110541
2024-06-26 00:00:00+05:30,185.05,199.44,183.1,194.69,100559239
2024-06-27 00:00:00+05:30,196.0,205.1,192.26,193.38,66090155
2024-06-28 00:00:00+05:30,195.3,195.7,188.76,190.44,24355673
2024-07-01 00:00:00+05:30,200.0,201.82,194.61,196.11,34096446
2024-07-02 00:00:00+05:30,197.15,209.0,192.8,205.35,65912468
2024-07-03 00:00:00+05:30,212.1,225.88,208.75,223.11,159681424
2024-07-04 00:00:00+05:30,223.23,228.48,218.41,220.49,68381930
2024-07-05 00:00:00+05:30,220.83,232.0,219.26,228.84,55309588
2024-07-08 00:00:00+05:30,232.0,248.85,231.8,246.38,97684592
2024-07-09 00:00:00+05:30,251.01,254.0,228.01,240.53,72152055
2024-07-10 00:00:00+05:30,241.55,249.55,230.0,247.28,70516062
2024-07-11 00:00:00+05:30,248.39,289.33,241.55,283.69,200719317
2024-07-12 00:00:00+05:30,282.9,304.5,275.05,284.26,227015725
2024-07-15 00:00:00+05:30,300.0,310.0,286.88,289.65,106576924
2024-07-16 00:00:00+05:30,288.7,288.7,270.2,272.08,73797972
2024-07-18 00:00:00+05:30,267.39,267.39,252.0,257.4,89133329
2024-07-19 00:00:00+05:30,253.5,279.0,251.25,272.1,107729154
2024-07-22 00:00:00+05:30,274.0,279.88,266.3,269.85,38163945
2024-07-23 00:00:00+05:30,272.7,282.9,232.0,258.65,106704297
2024-07-24 00:00:00+05:30,261.8,272.89,261.8,269.26,35527332
2024-07-25 00:00:00+05:30,266.4,268.25,260.0,261.18,23498679
2024-07-26 00:00:00+05:30,263.5,268.1,257.01,258.03,19934107
2024-07-29 00:00:00+05:30,261.0,268.35,257.01,266.01,28683160
2024-07-30 00:00:00+05:30,265.95,269.95,262.8,263.94,16147525
