date,open,high,low,close,volume
2024-07-01 00:00:00+05:30,426.3,430.25,424.65,429.05,12894747
2024-07-02 00:00:00+05:30,430.0,430.65,422.55,425.5,10763335
2024-07-03 00:00:00+05:30,426.1,429.65,425.5,428.3,7159756
2024-07-04 00:00:00+05:30,430.0,431.5,427.05,429.05,9127340
2024-07-05 00:00:00+05:30,429.0,434.0,427.6,433.65,12929586
2024-07-08 00:00:00+05:30,435.15,444.55,433.65,443.6,20521107
2024-07-09 00:00:00+05:30,447.6,455.0,444.0,452.6,26470260
2024-07-10 00:00:00+05:30,453.7,455.35,446.5,451.45,11618210
2024-07-11 00:00:00+05:30,450.0,459.5,448.7,458.65,18831345
2024-07-12 00:00:00+05:30,458.65,463.25,455.85,459.05,18962800
2024-07-15 00:00:00+05:30,459.05,466.45,457.2,463.4,16251032
2024-07-16 00:00:00+05:30,463.45,466.75,461.4,465.55,12996711
2024-07-18 00:00:00+05:30,463.0,470.9,462.65,470.25,21094737
2024-07-19 00:00:00+05:30,471.0,479.4,469.4,474.55,24977373
2024-07-22 00:00:00+05:30,474.6,479.45,465.85,466.55,18066586
2024-07-23 00:00:00+05:30,466.55,497.4,466.4,492.2,54044423
2024-07-24 00:00:00+05:30,496.0,510.65,490.65,494.05,42073323
2024-07-25 00:00:00+05:30,490.0,496.0,484.65,489.95,17878994
2024-07-26 00:00:00+05:30,494.05,506.4,487.4,502.2,20736094
2024-07-29 00:00:00+05:30,505.5,506.2,494.05,496.05,12496895
2024-07-30 00:00:00+05:30,496.3,497.8,488.65,489.9,13375906
2024-07-31 00:00:00+05:30,492.45,497.95,490.5,495.35,11538215
2024-08-01 00:00:00+05:30,495.95,496.75,490.95,493.7,11665529
2024-08-02 00:00:00+05:30,484.8,499.45,484.8,489.1,21320064
2024-08-05 00:00:00+05:30,480.05,491.9,479.55,486.0,24094139
2024-08-06 00:00:00+05:30,486.25,491.7,484.05,486.3,13722855
2024-08-07 00:00:00+05:30,490.0,495.6,488.1,492.65,10900585
2024-08-08 00:00:00+05:30,494.0,498.0,492.5,494.75,20558134
2024-08-09 00:00:00+05:30,498.0,498.0,493.1,495.9,9201793
2024-08-12 00:00:00+05:30,492.0,500.0,492.0,494.6,9076097
2024-08-13 00:00:00+05:30,495.95,497.85,488.25,490.0,7757706
2024-08-14 00:00:00+05:30,491.95,499.0,489.9,492.2,9253598
2024-08-16 00:00:00+05:30,494.5,504.2,492.65,502.65,13137392
2024-08-19 00:00:00+05:30,504.75,509.3,499.6,501.45,10198725
2024-08-20 00:00:00+05:30,501.0,503.4,497.7,498.8,6633171
2024-08-21 00:00:00+05:30,500.0,509.0,499.05,505.4,8474830
2024-08-22 00:00:00+05:30,507.85,508.5,501.45,504.55,8364290
2024-08-23 00:00:00+05:30,505.05,506.95,499.95,505.8,7891446
2024-08-26 00:00:00+05:30,506.0,508.0,502.0,505.7,7825037
2024-08-27 00:00:00+05:30,507.55,507.6,500.0,500.6,7954114
2024-08-28 00:00:00+05:30,500.4,502.3,496.5,497.3,7782216
2024-08-29 00:00:00+05:30,498.0,507.7,497.35,505.1,18670632
2024-08-30 00:00:00+05:30,501.95,509.15,500.2,501.9,14947670
2024-09-02 00:00:00+05:30,504.0,512.9,503.3,510.05,15885469
2024-09-03 00:00:00+05:30,510.05,515.95,507.9,509.4,12018677
2024-09-04 00:00:00+05:30,500.0,510.05,499.95,506.35,8414967
2024-09-05 00:00:00+05:30,508.35,511.9,507.05,511.2,10898888
2024-09-06 00:00:00+05:30,512.0,512.0,497.15,501.7,13716752
2024-09-09 00:00:00+05:30,502.0,512.65,500.35,511.75,13736044
2024-09-10 00:00:00+05:30,511.9,515.0,508.75,513.6,10911995
2024-09-11 00:00:00+05:30,513.0,519.5,511.95,514.35,14922832
2024-09-12 00:00:00+05:30,515.1,520.5,508.55,519.5,18377550
2024-09-13 00:00:00+05:30,519.5,520.0,512.0,513.85,8825193
