date,open,high,low,close,volume
2024-07-01 00:00:00+05:30,739.0,760.0,728.05,732.85,1506547
2024-07-02 00:00:00+05:30,739.6,748.75,726.4,730.05,393789
2024-07-03 00:00:00+05:30,740.0,747.9,729.45,738.6,1115312
2024-07-04 00:00:00+05:30,745.0,786.0,745.0,775.1,4230308
2024-07-05 00:00:00+05:30,779.0,779.2,757.0,763.35,1066239
2024-07-08 00:00:00+05:30,760.0,770.0,745.1,754.2,575114
2024-07-09 00:00:00+05:30,746.1,777.95,746.1,759.2,660860
2024-07-10 00:00:00+05:30,774.0,774.9,741.0,754.45,735985
2024-07-11 00:00:00+05:30,759.8,760.5,743.05,745.25,301836
2024-07-12 00:00:00+05:30,745.25,763.75,721.15,747.4,2691618
2024-07-15 00:00:00+05:30,763.0,763.0,738.1,739.75,420447
2024-07-16 00:00:00+05:30,744.0,746.0,730.2,733.95,383488
2024-07-18 00:00:00+05:30,734.5,749.0,731.15,739.2,485778
2024-07-19 00:00:00+05:30,743.1,745.5,707.0,709.5,656816
2024-07-22 00:00:00+05:30,709.0,710.15,692.0,695.5,818754
2024-07-23 00:00:00+05:30,701.4,719.0,674.8,711.5,786703
2024-07-24 00:00:00+05:30,710.1,723.45,705.0,710.35,160645
2024-07-25 00:00:00+05:30,701.5,730.0,701.5,724.7,211338
2024-07-26 00:00:00+05:30,729.5,753.6,724.7,748.95,357726
2024-07-29 00:00:00+05:30,753.0,753.7,732.1,735.0,448112
2024-07-30 00:00:00+05:30,735.0,754.35,727.4,739.7,1226565
2024-07-31 00:00:00+05:30,750.0,756.0,726.0,731.45,445683
2024-08-01 00:00:00+05:30,736.05,799.0,736.05,777.95,3821092
2024-08-02 00:00:00+05:30,770.0,797.0,762.0,781.55,1297150
2024-08-05 00:00:00+05:30,768.85,768.85,722.05,726.1,1080459
2024-08-06 00:00:00+05:30,733.2,749.0,705.0,716.25,768947
2024-08-07 00:00:00+05:30,723.05,744.1,720.3,739.45,363577
2024-08-08 00:00:00+05:30,739.45,746.35,726.85,738.4,298834
2024-08-09 00:00:00+05:30,743.8,775.0,739.5,761.9,519113
2024-08-12 00:00:00+05:30,758.0,773.7,747.75,759.45,284282
2024-08-13 00:00:00+05:30,769.0,774.0,741.0,746.8,162328
2024-08-14 00:00:00+05:30,750.7,753.5,726.2,734.15,279668
2024-08-16 00:00:00+05:30,744.7,744.9,728.5,740.0,913932
2024-08-19 00:00:00+05:30,752.15,754.0,732.7,751.1,277229
2024-08-20 00:00:00+05:30,752.0,760.9,742.55,747.6,209393
2024-08-21 00:00:00+05:30,747.4,759.95,741.3,755.4,320502
2024-08-22 00:00:00+05:30,762.0,791.0,761.6,776.55,655482
2024-08-23 00:00:00+05:30,778.4,785.05,755.55,768.4,246241
2024-08-26 00:00:00+05:30,767.0,786.95,765.05,778.65,361768
2024-08-27 00:00:00+05:30,785.75,810.95,770.25,776.8,591230
2024-08-28 00:00:00+05:30,790.0,797.0,775.0,780.55,450995
2024-08-29 00:00:00+05:30,784.4,784.95,752.05,769.25,437435
2024-08-30 00:00:00+05:30,773.5,779.25,767.15,774.45,141832
2024-09-02 00:00:00+05:30,770.05,774.0,741.3,766.35,1035792
2024-09-03 00:00:00+05:30,761.0,776.0,758.1,772.2,326352
2024-09-04 00:00:00+05:30,764.45,783.25,757.35,779.35,400368
2024-09-05 00:00:00+05:30,774.2,786.65,774.2,779.25,175843
