date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,106.47,106.47,99.34,99.64,47145803
2024-06-04 00:00:00+05:30,100.64,100.64,89.67,94.77,75209181
2024-06-05 00:00:00+05:30,95.0,102.01,94.67,101.37,47790277
2024-06-06 00:00:00+05:30,102.34,103.47,99.67,101.64,47575790
2024-06-07 00:00:00+05:30,101.97,105.34,100.87,104.47,46041146
2024-06-10 00:00:00+05:30,106.01,110.33,105.31,109.73,72903309
2024-06-11 00:00:00+05:30,110.27,111.41,107.9,108.68,32048752
2024-06-12 00:00:00+05:30,109.01,110.97,108.61,110.59,32830181
2024-06-13 00:00:00+05:30,111.34,112.69,110.81,112.51,26520819
2024-06-14 00:00:00+05:30,112.91,117.41,111.89,116.42,40036669
2024-06-18 00:00:00+05:30,116.97,123.39,116.74,120.22,83340903
2024-06-19 00:00:00+05:30,120.81,123.0,117.95,121.54,73173429
2024-06-20 00:00:00+05:30,122.27,125.47,121.25,123.63,61595595
2024-06-21 00:00:00+05:30,124.01,126.21,122.21,125.15,49640073
2024-06-24 00:00:00+05:30,124.73,126.74,121.82,125.53,35864911
2024-06-25 00:00:00+05:30,125.71,129.73,125.58,128.6,53322778
2024-06-26 00:00:00+05:30,128.14,131.01,127.16,129.17,50251750
2024-06-27 00:00:00+05:30,129.17,133.47,128.39,132.37,82388221
2024-06-28 00:00:00+05:30,132.25,132.25,126.67,126.88,39192245
2024-07-01 00:00:00+05:30,129.03,133.0,128.07,131.17,58304251
2024-07-02 00:00:00+05:30,131.71,138.09,131.27,135.31,72635055
2024-07-03 00:00:00+05:30,136.01,137.75,135.54,137.06,45967383
2024-07-04 00:00:00+05:30,137.19,139.26,136.67,137.72,33268701
2024-07-05 00:00:00+05:30,138.31,138.41,134.33,136.67,25977666
2024-07-08 00:00:00+05:30,137.21,137.58,133.89,134.3,18353193
2024-07-09 00:00:00+05:30,134.77,135.87,133.14,135.36,20848674
2024-07-10 00:00:00+05:30,135.81,136.21,131.17,133.67,26756487
2024-07-11 00:00:00+05:30,131.01,134.61,130.47,132.35,25198872
2024-07-12 00:00:00+05:30,132.67,133.18,130.99,131.22,11621768
2024-07-15 00:00:00+05:30,131.63,134.8,131.05,134.39,21147911
2024-07-16 00:00:00+05:30,134.84,135.85,133.77,134.12,13017374
2024-07-18 00:00:00+05:30,133.34,137.27,132.25,136.21,83593042
2024-07-19 00:00:00+05:30,136.88,137.21,127.57,128.14,29568485
2024-07-22 00:00:00+05:30,127.97,128.91,125.47,126.83,28415362
2024-07-23 00:00:00+05:30,128.27,129.02,120.75,128.5,21032617
2024-07-24 00:00:00+05:30,128.5,128.5,125.87,126.59,25968010
2024-07-25 00:00:00+05:30,125.34,127.9,123.34,127.59,22549405
2024-07-26 00:00:00+05:30,127.6,131.11,127.6,130.94,19007042
2024-07-29 00:00:00+05:30,132.01,132.76,129.21,130.49,29412010
2024-07-30 00:00:00+05:30,130.67,130.94,128.69,129.41,12740739
2024-07-31 00:00:00+05:30,130.67,132.07,129.47,131.05,16020060
2024-08-01 00:00:00+05:30,131.61,132.01,129.5,130.87,9728616
2024-08-02 00:00:00+05:30,129.34,131.45,128.4,128.84,17567962
2024-08-05 00:00:00+05:30,125.34,125.34,113.55,117.01,131581347
2024-08-06 00:00:00+05:30,121.7,123.91,116.21,116.91,63864294
2024-08-07 00:00:00+05:30,121.27,122.24,117.94,120.61,31693589
2024-08-08 00:00:00+05:30,120.61,123.27,119.07,121.65,17658065
2024-08-09 00:00:00+05:30,122.88,125.84,122.88,125.17,19881810
2024-08-12 00:00:00+05:30,123.87,126.65,123.41,125.48,14378287
2024-08-13 00:00:00+05:30,126.11,126.51,118.47,120.47,47422286
2024-08-14 00:00:00+05:30,122.67,125.87,122.11,123.05,49124542
2024-08-16 00:00:00+05:30,125.41,125.67,123.08,123.79,19900457
2024-08-19 00:00:00+05:30,124.67,125.04,123.47,124.09,30696588
2024-08-20 00:00:00+05:30,124.57,126.87,121.44,126.35,42790889
2024-08-21 00:00:00+05:30,126.67,129.94,126.01,129.03,26260294
2024-08-22 00:00:00+05:30,129.54,129.94,128.57,129.27,13421665
2024-08-23 00:00:00+05:30,129.21,132.2,128.75,131.82,41233484
2024-08-26 00:00:00+05:30,132.94,132.94,131.11,131.97,17207386
2024-08-27 00:00:00+05:30,132.11,133.89,131.55,133.28,18299655
2024-08-28 00:00:00+05:30,133.54,133.54,131.07,131.32,13220115
2024-08-29 00:00:00+05:30,131.34,132.47,128.36,129.79,15404441
2024-08-30 00:00:00+05:30,130.84,131.07,128.86,130.19,20742236
2024-09-02 00:00:00+05:30,130.19,130.51,128.59,128.82,7001788
2024-09-03 00:00:00+05:30,128.81,129.67,127.13,128.51,17868010
2024-09-04 00:00:00+05:30,127.29,128.99,125.77,128.78,18748035
2024-09-05 00:00:00+05:30,129.01,130.44,128.35,128.8,13993783
2024-09-06 00:00:00+05:30,128.67,129.24,124.94,125.23,13782973
2024-09-09 00:00:00+05:30,124.67,126.16,123.36,124.91,14823745
2024-09-10 00:00:00+05:30,125.54,126.93,123.94,126.41,15432986
2024-09-11 00:00:00+05:30,125.41,125.41,121.41,122.57,27336423
2024-09-12 00:00:00+05:30,123.61,126.67,123.61,125.91,16978487
2024-09-13 00:00:00+05:30,122.84,128.24,121.39,127.0,50306928
2024-09-16 00:00:00+05:30,126.67,129.61,126.46,129.2,33181647
2024-09-17 00:00:00+05:30,130.51,131.34,126.41,130.01,61565754
2024-09-18 00:00:00+05:30,130.27,139.07,130.04,136.11,140775523
2024-09-19 00:00:00+05:30,137.67,138.03,133.9,136.74,51363829
2024-09-20 00:00:00+05:30,137.41,137.43,133.01,135.19,49224933
2024-09-23 00:00:00+05:30,136.01,140.41,135.74,138.23,34521398
2024-09-24 00:00:00+05:30,138.67,139.09,136.36,137.45,32299375
2024-09-25 00:00:00+05:30,138.0,138.13,136.41,136.99,19782451
2024-09-26 00:00:00+05:30,136.47,142.54,135.08,141.99,77409670
2024-09-27 00:00:00+05:30,142.64,144.67,142.37,143.41,49832661
2024-09-30 00:00:00+05:30,142.75,142.94,139.55,140.93,30210202
2024-10-01 00:00:00+05:30,141.34,142.97,139.56,140.51,15643265
2024-10-03 00:00:00+05:30,134.34,138.91,134.34,135.95,29932580
2024-10-04 00:00:00+05:30,135.97,137.25,133.02,133.95,17066349
2024-10-07 00:00:00+05:30,133.91,135.98,131.51,132.71,25478997
2024-10-08 00:00:00+05:30,132.04,136.67,130.25,135.88,21524239
2024-10-09 00:00:00+05:30,136.67,139.19,136.06,137.37,13785812
2024-10-10 00:00:00+05:30,138.41,143.34,138.21,140.02,37436601
2024-10-11 00:00:00+05:30,140.34,142.77,139.47,141.89,15054317
2024-10-14 00:00:00+05:30,142.51,143.92,141.77,142.84,15045262
2024-10-15 00:00:00+05:30,143.34,143.51,138.01,140.77,17814461
2024-10-16 00:00:00+05:30,139.37,140.58,137.21,137.76,21595719
2024-10-17 00:00:00+05:30,137.33,137.76,133.45,135.28,17761863
2024-10-18 00:00:00+05:30,134.67,137.21,132.37,136.77,20843963
2024-10-21 00:00:00+05:30,136.77,137.78,132.67,132.92,13407065
2024-10-22 00:00:00+05:30,133.31,134.13,128.51,129.0,21444689
2024-10-23 00:00:00+05:30,128.01,132.71,127.65,131.76,20532317
2024-10-24 00:00:00+05:30,133.34,133.53,127.33,128.29,17595313
2024-10-25 00:00:00+05:30,128.46,129.61,124.77,126.45,19056313
2024-10-28 00:00:00+05:30,124.68,128.31,124.68,126.97,11463309
2024-10-29 00:00:00+05:30,126.97,127.61,124.67,126.85,17363337
2024-10-30 00:00:00+05:30,126.85,127.31,123.04,123.38,21706879
2024-10-31 00:00:00+05:30,123.34,124.27,119.78,120.64,22820528
2024-11-01 00:00:00+05:30,120.77,122.47,120.77,121.49,2598019
2024-11-04 00:00:00+05:30,121.55,123.67,120.47,123.41,28194381
2024-11-05 00:00:00+05:30,122.83,124.34,121.29,122.79,22460340
2024-11-06 00:00:00+05:30,123.67,125.93,123.18,125.19,16917282
2024-11-07 00:00:00+05:30,125.24,126.5,121.32,121.8,24388361
2024-11-08 00:00:00+05:30,121.81,122.46,117.02,117.39,18062011
2024-11-11 00:00:00+05:30,117.03,119.26,114.91,116.55,22013531
2024-11-12 00:00:00+05:30,116.81,117.41,108.87,110.7,45661603
2024-11-13 00:00:00+05:30,111.34,112.95,105.87,106.6,68793286
2024-11-14 00:00:00+05:30,107.01,112.21,107.01,110.25,37885530
2024-11-18 00:00:00+05:30,111.01,112.01,109.21,109.97,19670897
2024-11-19 00:00:00+05:30,110.37,113.33,109.67,110.25,20246303
2024-11-21 00:00:00+05:30,110.01,110.21,107.34,107.9,16225083
2024-11-22 00:00:00+05:30,108.67,110.76,108.27,110.16,14349546
2024-11-25 00:00:00+05:30,113.67,114.15,109.7,110.14,78374818
2024-11-26 00:00:00+05:30,110.67,111.31,109.51,110.89,12731605
2024-11-27 00:00:00+05:30,110.91,110.91,108.04,109.07,22807521
2024-11-28 00:00:00+05:30,109.34,109.53,107.36,107.88,26454146
2024-11-29 00:00:00+05:30,108.67,108.67,107.29,108.31,21795244
2024-12-02 00:00:00+05:30,108.31,111.14,107.41,110.51,25926640
2024-12-03 00:00:00+05:30,111.61,112.01,110.08,110.81,23194335
2024-12-04 00:00:00+05:30,111.34,111.47,108.01,108.33,41449618
2024-12-05 00:00:00+05:30,109.07,112.55,108.54,111.34,37118136
2024-12-06 00:00:00+05:30,113.33,116.39,111.03,113.6,79889501
2024-12-09 00:00:00+05:30,113.16,113.65,110.57,111.21,30712977
2024-12-10 00:00:00+05:30,111.21,111.85,109.34,111.54,29314855
2024-12-11 00:00:00+05:30,112.01,112.67,110.97,111.21,17570859
2024-12-12 00:00:00+05:30,111.34,111.87,109.35,109.87,15712221
2024-12-13 00:00:00+05:30,109.37,109.64,106.95,109.42,15319048
2024-12-16 00:00:00+05:30,109.61,112.86,109.51,112.55,24792614
2024-12-17 00:00:00+05:30,112.39,112.95,109.01,109.63,19944077
2024-12-18 00:00:00+05:30,109.63,110.27,105.98,106.37,22362467
2024-12-19 00:00:00+05:30,103.36,105.63,103.05,105.05,28126294
2024-12-20 00:00:00+05:30,105.34,106.27,103.34,104.05,24998980
