date,open,high,low,close,volume
2024-07-01 00:00:00+05:30,101.0,101.25,99.81,100.1,20949761
2024-07-02 00:00:00+05:30,100.35,100.68,98.71,99.0,29096085
2024-07-03 00:00:00+05:30,99.45,101.94,99.26,101.46,62471696
2024-07-04 00:00:00+05:30,102.0,104.34,101.8,103.6,81824578
2024-07-05 00:00:00+05:30,103.4,105.3,102.94,103.82,74213267
2024-07-08 00:00:00+05:30,104.5,106.7,103.25,103.62,69792078
2024-07-09 00:00:00+05:30,104.18,107.49,103.7,106.05,98880924
2024-07-10 00:00:00+05:30,106.79,109.6,102.06,108.82,134958277
2024-07-11 00:00:00+05:30,109.44,114.49,109.0,114.07,178198788
2024-07-12 00:00:00+05:30,115.0,116.95,112.55,113.02,158615919
2024-07-15 00:00:00+05:30,113.8,118.4,111.65,115.81,138487161
2024-07-16 00:00:00+05:30,116.21,117.3,113.0,113.21,60399835
2024-07-18 00:00:00+05:30,113.45,114.6,107.5,108.3,84893554
2024-07-19 00:00:00+05:30,108.45,109.72,105.5,106.27,65072210
2024-07-22 00:00:00+05:30,105.8,108.65,104.3,107.3,57995385
2024-07-23 00:00:00+05:30,108.18,108.87,96.67,103.75,119253056
2024-07-24 00:00:00+05:30,103.38,105.83,101.82,102.38,69256057
2024-07-25 00:00:00+05:30,101.4,103.8,101.01,101.96,37870720
2024-07-26 00:00:00+05:30,103.5,107.4,103.5,104.62,74150250
2024-07-29 00:00:00+05:30,105.25,105.78,104.26,105.36,36122083
2024-07-30 00:00:00+05:30,105.36,106.65,105.25,105.49,29387753
2024-07-31 00:00:00+05:30,105.5,105.98,104.75,105.04,26015515
2024-08-01 00:00:00+05:30,105.7,106.3,103.8,105.05,32207899
2024-08-02 00:00:00+05:30,103.0,103.95,102.36,103.31,24854216
2024-08-05 00:00:00+05:30,100.0,101.25,97.73,98.31,57534546
2024-08-06 00:00:00+05:30,99.0,101.5,97.42,97.81,36552604
2024-08-07 00:00:00+05:30,101.0,101.6,98.02,100.55,38858385
2024-08-08 00:00:00+05:30,100.2,100.2,98.26,98.78,27076745
2024-08-09 00:00:00+05:30,99.28,99.8,97.4,97.77,23286851
2024-08-12 00:00:00+05:30,96.84,97.2,95.45,96.87,36867310
2024-08-13 00:00:00+05:30,97.0,97.79,94.64,95.12,25538708
2024-08-14 00:00:00+05:30,95.62,96.05,93.05,93.68,27739978
2024-08-16 00:00:00+05:30,94.1,94.89,92.5,94.13,34756900
2024-08-19 00:00:00+05:30,94.65,97.35,94.5,96.19,31239316
2024-08-20 00:00:00+05:30,96.75,96.98,95.85,96.8,16869237
2024-08-21 00:00:00+05:30,95.35,96.6,95.35,95.94,15590227
2024-08-22 00:00:00+05:30,96.4,98.15,96.1,97.93,22672016
2024-08-23 00:00:00+05:30,98.45,98.6,97.0,97.09,18447799
2024-08-26 00:00:00+05:30,97.6,99.3,96.41,96.65,18557442
2024-08-27 00:00:00+05:30,96.6,96.96,94.8,95.03,18858070
2024-08-28 00:00:00+05:30,95.1,95.98,94.73,95.06,19336484
2024-08-29 00:00:00+05:30,95.0,97.3,94.82,95.02,30622569
2024-08-30 00:00:00+05:30,95.5,97.75,93.09,96.12,41487282
2024-09-02 00:00:00+05:30,100.0,100.5,97.44,97.84,52636400
2024-09-03 00:00:00+05:30,98.0,99.35,97.26,99.07,26155552
2024-09-04 00:00:00+05:30,98.8,99.3,97.92,98.75,19437901
2024-09-05 00:00:00+05:30,98.9,98.98,97.56,98.21,15914761
2024-09-06 00:00:00+05:30,97.99,98.43,95.5,96.09,19518008
2024-09-09 00:00:00+05:30,96.0,96.05,93.81,94.87,22951872
