date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,3495.0,3522.0,3325.0,3371.35,147314
2024-06-04 00:00:00+05:30,3371.35,3385.15,3095.6,3189.15,66468
2024-06-05 00:00:00+05:30,3180.0,3420.0,3140.15,3404.1,54753
2024-06-06 00:00:00+05:30,3404.1,3425.95,3360.05,3408.2,143244
2024-06-07 00:00:00+05:30,3357.1,3476.4,3357.1,3429.55,31831
2024-06-10 00:00:00+05:30,3460.0,3490.85,3395.05,3449.0,53843
2024-06-11 00:00:00+05:30,3449.0,3480.0,3380.3,3414.05,130039
2024-06-12 00:00:00+05:30,3444.85,3444.85,3390.05,3400.45,58563
2024-06-13 00:00:00+05:30,3401.25,3468.9,3352.35,3423.15,37842
2024-06-14 00:00:00+05:30,3438.0,3468.95,3395.05,3403.5,20680
2024-06-18 00:00:00+05:30,3434.2,3434.6,3390.0,3420.45,58281
2024-06-19 00:00:00+05:30,3430.0,3494.45,3332.0,3411.8,103509
2024-06-20 00:00:00+05:30,3412.05,3587.0,3394.8,3511.3,66549
2024-06-21 00:00:00+05:30,3529.9,3580.0,3483.65,3537.55,48576
2024-06-24 00:00:00+05:30,3563.8,3739.05,3502.35,3678.95,145331
2024-06-25 00:00:00+05:30,3718.0,3718.0,3584.45,3671.45,41546
2024-06-26 00:00:00+05:30,3626.0,3643.5,3552.25,3594.75,78567
2024-06-27 00:00:00+05:30,3602.8,3621.0,3556.4,3597.2,29385
2024-06-28 00:00:00+05:30,3597.2,3655.0,3592.65,3608.65,18467
2024-07-01 00:00:00+05:30,3608.65,3699.0,3608.65,3657.85,16376
2024-07-02 00:00:00+05:30,3641.0,3664.25,3598.0,3618.55,21010
2024-07-03 00:00:00+05:30,3651.1,3651.1,3602.05,3624.1,65941
2024-07-04 00:00:00+05:30,3624.1,3713.95,3604.15,3631.85,65047
2024-07-05 00:00:00+05:30,3665.5,3668.0,3591.85,3602.95,82829
2024-07-08 00:00:00+05:30,3602.95,3665.0,3588.35,3635.35,53671
2024-07-09 00:00:00+05:30,3652.95,3704.05,3607.55,3639.35,20477
2024-07-10 00:00:00+05:30,3637.95,3695.0,3575.6,3674.85,30903
2024-07-11 00:00:00+05:30,3674.95,3728.65,3642.0,3672.1,120692
2024-07-12 00:00:00+05:30,3700.0,3705.15,3641.0,3682.9,23865
2024-07-15 00:00:00+05:30,3682.9,3699.0,3461.95,3639.2,29255
2024-07-16 00:00:00+05:30,3639.2,3667.5,3600.05,3645.7,38679
2024-07-18 00:00:00+05:30,3646.0,3665.0,3491.2,3510.05,88081
2024-07-19 00:00:00+05:30,3525.0,3561.95,3465.05,3504.65,21079
2024-07-22 00:00:00+05:30,3450.2,3570.0,3426.5,3535.45,64979
2024-07-23 00:00:00+05:30,3570.0,3595.0,3425.25,3573.2,22252
2024-07-24 00:00:00+05:30,3580.0,3611.0,3530.0,3602.65,17898
2024-07-25 00:00:00+05:30,3588.2,3604.0,3495.9,3519.95,154628
2024-07-26 00:00:00+05:30,3537.55,3616.35,3530.05,3591.85,13302
2024-07-29 00:00:00+05:30,3591.95,3695.0,3585.0,3610.8,31487
2024-07-30 00:00:00+05:30,3625.05,3629.95,3520.3,3586.7,31387
2024-07-31 00:00:00+05:30,3604.65,3651.0,3568.75,3622.7,23682
2024-08-01 00:00:00+05:30,3640.8,3738.55,3591.65,3629.2,47729
2024-08-02 00:00:00+05:30,3620.0,3620.0,3550.0,3603.35,20092
2024-08-05 00:00:00+05:30,3600.0,3600.0,3453.8,3497.25,201383
2024-08-06 00:00:00+05:30,3498.0,3585.25,3497.25,3559.1,19093
2024-08-07 00:00:00+05:30,3576.9,3625.0,3502.65,3589.8,15354
2024-08-08 00:00:00+05:30,3623.6,3640.0,3560.0,3580.45,19432
2024-08-09 00:00:00+05:30,3612.7,3612.7,3524.05,3555.1,90188
2024-08-12 00:00:00+05:30,3587.05,3650.0,3540.0,3614.85,20792
2024-08-13 00:00:00+05:30,3627.0,3632.35,3560.65,3600.1,14183
2024-08-14 00:00:00+05:30,3560.0,3560.0,3405.0,3523.4,72762
2024-08-16 00:00:00+05:30,3523.4,3536.8,3479.75,3509.05,41172
2024-08-19 00:00:00+05:30,3521.35,3526.65,3466.05,3500.35,14354
2024-08-20 00:00:00+05:30,3510.0,3545.0,3480.0,3489.7,9681
2024-08-21 00:00:00+05:30,3489.7,3506.6,3445.2,3486.2,120280
2024-08-22 00:00:00+05:30,3520.15,3576.45,3500.0,3545.1,17684
2024-08-23 00:00:00+05:30,3569.9,3573.9,3493.7,3517.3,75271
2024-08-26 00:00:00+05:30,3534.9,3536.65,3500.1,3522.9,9033
2024-08-27 00:00:00+05:30,3504.85,3639.0,3504.85,3606.8,37332
2024-08-28 00:00:00+05:30,3606.8,3627.0,3536.05,3618.0,81303
2024-08-29 00:00:00+05:30,3620.0,3683.4,3586.65,3645.6,29220
2024-08-30 00:00:00+05:30,3645.6,3695.0,3645.6,3688.25,28270
2024-09-02 00:00:00+05:30,3672.95,3775.0,3671.0,3717.25,59417
2024-09-03 00:00:00+05:30,3737.0,3775.0,3704.25,3755.4,34008
2024-09-04 00:00:00+05:30,3700.0,3789.3,3690.1,3722.95,45561
2024-09-05 00:00:00+05:30,3725.0,3750.0,3691.0,3716.4,16398
2024-09-06 00:00:00+05:30,3709.65,3875.0,3706.05,3808.65,126724
2024-09-09 00:00:00+05:30,3789.0,3849.8,3702.05,3818.95,34432
2024-09-10 00:00:00+05:30,3859.6,3891.95,3792.35,3819.35,34324
2024-09-11 00:00:00+05:30,3838.45,3891.0,3780.15,3820.25,53348
2024-09-12 00:00:00+05:30,3855.3,3880.0,3784.8,3859.45,113812
2024-09-13 00:00:00+05:30,3883.2,3978.5,3766.0,3792.2,74305
2024-09-16 00:00:00+05:30,3795.0,3837.95,3770.0,3814.15,102368
2024-09-17 00:00:00+05:30,3753.7,3820.2,3750.0,3779.0,25487
2024-09-18 00:00:00+05:30,3810.0,3813.0,3686.3,3718.3,124352
2024-09-19 00:00:00+05:30,3702.0,3753.15,3672.0,3698.05,61012
2024-09-20 00:00:00+05:30,3698.05,3731.3,3662.0,3678.85,12774
2024-09-23 00:00:00+05:30,3712.15,3712.25,3619.5,3647.7,14765
2024-09-24 00:00:00+05:30,3677.05,3720.05,3626.0,3656.85,61580
2024-09-25 00:00:00+05:30,3690.85,3697.15,3628.2,3654.1,14314
2024-09-26 00:00:00+05:30,3670.0,3680.0,3622.0,3636.65,33905
2024-09-27 00:00:00+05:30,3636.0,3773.0,3630.15,3646.0,46989
2024-09-30 00:00:00+05:30,3646.0,3685.25,3569.6,3667.65,93092
2024-10-01 00:00:00+05:30,3685.0,3700.7,3635.0,3682.2,17156
2024-10-03 00:00:00+05:30,3680.0,3710.0,3558.65,3613.5,36460
2024-10-04 00:00:00+05:30,3615.75,3635.45,3556.25,3615.2,21197
2024-10-07 00:00:00+05:30,3615.2,3629.95,3536.25,3552.55,25097
2024-10-08 00:00:00+05:30,3570.35,3583.05,3481.95,3558.9,14736
2024-10-09 00:00:00+05:30,3548.05,3600.0,3526.8,3545.3,38210
2024-10-10 00:00:00+05:30,3577.25,3577.25,3514.75,3540.5,47956
2024-10-11 00:00:00+05:30,3540.5,3558.25,3506.15,3534.9,10832
2024-10-14 00:00:00+05:30,3520.0,3621.0,3520.0,3607.95,12299
2024-10-15 00:00:00+05:30,3608.05,3671.7,3562.25,3630.55,18487
2024-10-16 00:00:00+05:30,3628.0,3720.0,3563.0,3657.55,41617
2024-10-17 00:00:00+05:30,3657.55,3700.65,3565.0,3579.6,11572
2024-10-18 00:00:00+05:30,3565.0,3675.0,3496.05,3647.6,24392
2024-10-21 00:00:00+05:30,3649.0,3673.15,3550.1,3592.05,7636
2024-10-22 00:00:00+05:30,3598.0,3619.9,3500.0,3514.35,13371
2024-10-23 00:00:00+05:30,3531.95,3563.75,3453.15,3525.75,11058
2024-10-24 00:00:00+05:30,3500.75,3600.0,3430.0,3543.1,12492
2024-10-25 00:00:00+05:30,3519.2,3560.25,3422.3,3443.15,24259
2024-10-28 00:00:00+05:30,3460.4,3534.85,3428.0,3510.25,10881
2024-10-29 00:00:00+05:30,3510.3,3574.0,3473.35,3544.7,11460
2024-10-30 00:00:00+05:30,3618.0,3769.65,3553.95,3637.8,47135
2024-10-31 00:00:00+05:30,3637.0,3718.15,3619.85,3679.95,21015
2024-11-01 00:00:00+05:30,3684.5,3713.1,3647.7,3669.35,1748
2024-11-04 00:00:00+05:30,3651.35,3724.0,3608.45,3697.0,22132
2024-11-05 00:00:00+05:30,3697.0,3750.0,3647.75,3671.7,26847
2024-11-06 00:00:00+05:30,3669.95,3726.45,3661.0,3681.55,14566
2024-11-07 00:00:00+05:30,3695.9,3728.2,3654.2,3672.4,13328
2024-11-08 00:00:00+05:30,3698.0,3698.0,3582.4,3618.25,13118
2024-11-11 00:00:00+05:30,3618.0,3622.6,3552.55,3608.8,9030
2024-11-12 00:00:00+05:30,3605.0,3625.0,3525.45,3540.45,14068
2024-11-13 00:00:00+05:30,3540.0,3614.6,3449.0,3512.2,16173
2024-11-14 00:00:00+05:30,3512.2,3544.4,3455.0,3519.4,7594
2024-11-18 00:00:00+05:30,3505.0,3551.0,3393.0,3452.35,28719
2024-11-19 00:00:00+05:30,3456.0,3495.3,3371.8,3403.8,93668
2024-11-21 00:00:00+05:30,3405.0,3693.8,3395.9,3638.6,104121
2024-11-22 00:00:00+05:30,3540.15,3580.15,3451.0,3466.25,105306
2024-11-25 00:00:00+05:30,3486.95,3594.0,3472.65,3527.4,41457
2024-11-26 00:00:00+05:30,3560.0,3577.45,3447.05,3471.2,14288
2024-11-27 00:00:00+05:30,3450.05,3476.35,3421.0,3454.8,12949
2024-11-28 00:00:00+05:30,3464.9,3464.9,3411.0,3430.3,11171
2024-11-29 00:00:00+05:30,3440.3,3470.0,3390.0,3433.0,64329
2024-12-02 00:00:00+05:30,3386.0,3415.55,3350.05,3399.8,44571
2024-12-03 00:00:00+05:30,3399.8,3460.6,3352.55,3367.95,29820
2024-12-04 00:00:00+05:30,3367.0,3396.45,3300.0,3325.3,309180
2024-12-05 00:00:00+05:30,3444.95,3447.0,3311.45,3326.0,76712
2024-12-06 00:00:00+05:30,3337.45,3370.2,3325.0,3344.3,20980
2024-12-09 00:00:00+05:30,3326.0,3430.5,3320.0,3403.4,31916
2024-12-10 00:00:00+05:30,3420.0,3450.0,3375.05,3384.55,39149
2024-12-11 00:00:00+05:30,3376.95,3403.0,3351.0,3362.0,18085
2024-12-12 00:00:00+05:30,3360.0,3403.8,3344.7,3352.3,142902
2024-12-13 00:00:00+05:30,3378.0,3407.5,3310.0,3377.6,17695
2024-12-16 00:00:00+05:30,3404.0,3404.0,3326.0,3375.3,50637
2024-12-17 00:00:00+05:30,3395.0,3396.0,3301.5,3317.35,18596
2024-12-18 00:00:00+05:30,3285.0,3386.65,3285.0,3368.05,16992
2024-12-19 00:00:00+05:30,3350.0,3369.0,3308.0,3320.6,12324
2024-12-20 00:00:00+05:30,3285.0,3337.95,3261.0,3297.65,21804
2024-12-23 00:00:00+05:30,3276.55,3327.3,3261.05,3275.05,10431
2024-12-24 00:00:00+05:30,3300.0,3302.05,3230.0,3280.1,16139
2024-12-26 00:00:00+05:30,3250.0,3344.9,3220.65,3285.0,11207
