date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,50.0,50.0,50.0,50.0,62876628
2024-06-04 00:00:00+05:30,52.1,52.1,47.5,47.5,123854100
2024-06-05 00:00:00+05:30,45.15,49.8,45.15,48.45,81272335
2024-06-06 00:00:00+05:30,49.45,50.5,48.5,49.8,49163158
2024-06-07 00:00:00+05:30,50.0,50.45,49.0,49.9,30336425
2024-06-10 00:00:00+05:30,47.4,48.63,47.4,47.4,90220734
2024-06-11 00:00:00+05:30,47.4,49.29,47.02,48.26,47583387
2024-06-12 00:00:00+05:30,48.51,50.5,48.4,50.28,87422931
2024-06-13 00:00:00+05:30,50.5,50.5,49.29,49.87,48465602
2024-06-14 00:00:00+05:30,50.0,51.19,49.1,49.48,85029862
2024-06-18 00:00:00+05:30,49.6,50.29,48.85,49.96,49874657
2024-06-19 00:00:00+05:30,50.19,50.28,48.75,48.9,26139387
2024-06-20 00:00:00+05:30,51.34,51.34,49.55,50.53,99070183
2024-06-21 00:00:00+05:30,51.2,53.05,51.0,53.05,143678671
2024-06-24 00:00:00+05:30,55.45,55.7,54.15,54.7,149419809
2024-06-25 00:00:00+05:30,55.15,55.5,53.32,53.6,63723030
2024-06-26 00:00:00+05:30,53.6,54.37,52.3,52.76,52438770
2024-06-27 00:00:00+05:30,53.05,54.0,51.5,53.28,52502181
2024-06-28 00:00:00+05:30,53.9,54.0,52.71,52.86,38744898
2024-07-01 00:00:00+05:30,53.2,53.28,52.59,52.93,25423991
2024-07-02 00:00:00+05:30,53.0,53.38,52.43,53.03,24502330
2024-07-03 00:00:00+05:30,53.1,53.95,53.0,53.53,29907631
2024-07-04 00:00:00+05:30,53.6,55.67,53.37,54.03,63199465
2024-07-05 00:00:00+05:30,54.37,56.49,53.8,55.49,96909661
2024-07-08 00:00:00+05:30,55.95,56.0,54.5,55.2,54588551
2024-07-09 00:00:00+05:30,55.3,55.84,53.86,55.37,33858415
2024-07-10 00:00:00+05:30,55.67,56.0,53.9,54.89,37727227
2024-07-11 00:00:00+05:30,55.0,55.0,54.2,54.72,26061094
2024-07-12 00:00:00+05:30,55.0,55.43,53.65,54.63,37499020
2024-07-15 00:00:00+05:30,55.0,55.0,54.02,54.62,27141448
2024-07-16 00:00:00+05:30,54.9,56.0,54.43,55.88,76577863
2024-07-18 00:00:00+05:30,55.5,55.72,53.82,55.39,68196637
2024-07-19 00:00:00+05:30,55.38,55.87,53.82,54.55,52178598
2024-07-22 00:00:00+05:30,54.66,55.44,53.5,55.08,47805246
2024-07-23 00:00:00+05:30,57.2,57.83,54.0,57.83,281887693
2024-07-24 00:00:00+05:30,59.7,60.72,59.63,60.72,90757700
2024-07-25 00:00:00+05:30,62.29,63.75,60.8,61.47,170325709
2024-07-26 00:00:00+05:30,62.68,63.0,61.0,61.89,67858407
2024-07-29 00:00:00+05:30,62.95,64.98,62.38,64.98,97886927
2024-07-30 00:00:00+05:30,65.81,68.22,65.63,68.22,114489676
2024-07-31 00:00:00+05:30,70.11,70.89,68.28,69.38,131539602
2024-08-01 00:00:00+05:30,69.93,70.99,66.22,67.98,134824650
2024-08-02 00:00:00+05:30,67.8,71.37,67.05,71.35,131096033
2024-08-05 00:00:00+05:30,69.9,71.64,67.78,67.85,209904382
2024-08-06 00:00:00+05:30,68.75,70.85,65.6,66.27,96665562
2024-08-07 00:00:00+05:30,69.0,69.58,68.11,69.58,65576822
2024-08-08 00:00:00+05:30,71.0,73.05,70.58,72.92,212956025
2024-08-09 00:00:00+05:30,74.6,76.56,73.0,76.54,142611445
2024-08-12 00:00:00+05:30,77.15,80.36,74.65,80.36,131256497
2024-08-13 00:00:00+05:30,81.97,84.29,78.35,80.79,193725637
2024-08-14 00:00:00+05:30,82.19,82.41,76.75,76.77,141960840
2024-08-16 00:00:00+05:30,77.95,80.5,74.12,79.95,155613726
2024-08-19 00:00:00+05:30,80.64,82.45,79.21,80.71,96552950
2024-08-20 00:00:00+05:30,81.31,81.58,78.5,79.43,54449596
2024-08-21 00:00:00+05:30,79.4,80.15,78.61,78.85,38869576
2024-08-22 00:00:00+05:30,79.23,79.59,77.3,77.57,41519353
2024-08-23 00:00:00+05:30,77.7,80.5,77.7,78.84,67410388
2024-08-26 00:00:00+05:30,79.34,79.79,75.66,76.4,57918809
2024-08-27 00:00:00+05:30,77.24,78.3,76.6,77.5,32622346
2024-08-28 00:00:00+05:30,77.95,79.73,77.66,78.96,47724768
2024-08-29 00:00:00+05:30,78.67,78.69,76.2,77.0,41938870
2024-08-30 00:00:00+05:30,77.3,77.58,75.12,75.84,63934257
2024-09-02 00:00:00+05:30,75.84,76.1,72.5,73.81,71966033
2024-09-03 00:00:00+05:30,73.81,76.37,73.54,74.47,49347993
2024-09-04 00:00:00+05:30,74.4,74.9,73.3,74.16,28321394
2024-09-05 00:00:00+05:30,75.7,77.09,74.66,76.0,56483144
2024-09-06 00:00:00+05:30,76.75,77.35,74.51,74.72,43635971
2024-09-09 00:00:00+05:30,75.28,77.28,72.82,74.34,87247821
2024-09-10 00:00:00+05:30,75.83,78.05,75.34,78.05,144759489
2024-09-11 00:00:00+05:30,79.34,81.95,79.1,81.95,121404214
2024-09-12 00:00:00+05:30,86.0,86.04,80.41,81.7,186025037
2024-09-13 00:00:00+05:30,82.14,84.5,80.8,83.11,82750388
2024-09-16 00:00:00+05:30,83.88,85.85,83.66,84.7,67945786
2024-09-17 00:00:00+05:30,85.18,85.4,80.57,82.0,61029140
2024-09-18 00:00:00+05:30,82.2,82.98,80.52,80.82,37668180
2024-09-19 00:00:00+05:30,81.89,83.0,78.0,80.97,60446356
2024-09-20 00:00:00+05:30,82.24,84.0,81.31,83.45,74313107
2024-09-23 00:00:00+05:30,84.19,84.99,82.7,82.89,35307207
2024-09-24 00:00:00+05:30,83.0,84.2,82.32,83.79,34414038
2024-09-25 00:00:00+05:30,83.7,83.7,82.5,82.96,27040040
2024-09-26 00:00:00+05:30,82.95,83.36,81.5,81.84,24929699
2024-09-27 00:00:00+05:30,81.75,82.77,80.5,81.09,42523359
2024-09-30 00:00:00+05:30,80.8,81.58,79.37,80.05,42376466
2024-10-01 00:00:00+05:30,80.3,81.53,79.5,79.74,27494973
2024-10-03 00:00:00+05:30,76.74,78.6,75.75,75.75,79766127
2024-10-04 00:00:00+05:30,74.85,76.65,72.22,74.67,77974009
2024-10-07 00:00:00+05:30,75.64,76.49,70.93,70.93,76807728
2024-10-08 00:00:00+05:30,68.1,74.2,66.1,73.64,135896990
2024-10-09 00:00:00+05:30,74.59,80.6,74.55,76.69,136134618
2024-10-10 00:00:00+05:30,77.5,77.89,74.67,75.44,71016473
2024-10-11 00:00:00+05:30,75.75,76.07,74.25,74.39,32799505
2024-10-14 00:00:00+05:30,74.65,75.0,73.75,74.01,24979009
2024-10-15 00:00:00+05:30,74.1,74.24,72.15,73.71,42418804
2024-10-16 00:00:00+05:30,73.71,75.65,73.52,75.05,47156496
2024-10-17 00:00:00+05:30,75.39,75.45,72.4,73.01,32194681
2024-10-18 00:00:00+05:30,72.9,73.35,71.1,72.19,36018706
2024-10-21 00:00:00+05:30,72.49,72.77,70.3,70.63,27026007
2024-10-22 00:00:00+05:30,70.59,71.3,67.5,68.56,67732028
2024-10-23 00:00:00+05:30,67.3,69.94,66.1,68.85,55215451
2024-10-24 00:00:00+05:30,69.08,71.14,68.4,69.15,35058205
2024-10-25 00:00:00+05:30,69.88,70.3,66.0,67.47,49452859
2024-10-28 00:00:00+05:30,68.0,72.6,66.14,70.84,81820533
2024-10-29 00:00:00+05:30,72.75,73.5,66.82,68.87,129971042
2024-10-30 00:00:00+05:30,68.99,69.63,67.56,68.13,52761387
2024-10-31 00:00:00+05:30,67.96,68.44,66.7,66.95,41454018
2024-11-01 00:00:00+05:30,67.3,68.4,67.2,68.14,14965199
2024-11-04 00:00:00+05:30,68.19,68.24,65.2,66.32,55381082
2024-11-05 00:00:00+05:30,66.3,68.25,65.53,67.37,45626050
2024-11-06 00:00:00+05:30,68.0,69.85,67.42,69.32,50008246
2024-11-07 00:00:00+05:30,69.45,69.45,66.44,66.8,49354800
2024-11-08 00:00:00+05:30,66.59,66.59,61.84,62.5,86095752
2024-11-11 00:00:00+05:30,61.5,63.14,58.56,62.16,128104971
2024-11-12 00:00:00+05:30,62.16,62.87,59.1,59.39,67563924
2024-11-13 00:00:00+05:30,58.0,59.28,53.45,54.03,194511406
2024-11-14 00:00:00+05:30,54.03,56.73,53.65,56.73,56957801
2024-11-18 00:00:00+05:30,59.45,59.56,56.8,59.26,119110598
2024-11-19 00:00:00+05:30,60.5,62.22,59.42,62.22,74476083
2024-11-21 00:00:00+05:30,63.9,65.33,63.5,65.33,131579845
2024-11-22 00:00:00+05:30,66.8,68.33,64.6,65.22,130345329
2024-11-25 00:00:00+05:30,67.0,67.5,63.71,64.23,123922270
2024-11-26 00:00:00+05:30,64.64,64.85,63.3,63.57,35463228
2024-11-27 00:00:00+05:30,63.88,64.29,62.71,63.59,37152591
2024-11-28 00:00:00+05:30,63.69,65.5,62.9,63.73,42559541
2024-11-29 00:00:00+05:30,63.9,64.22,62.41,62.98,54815057
