Symbol,Sector,Market Cap,Recommendation,Confidence (%),Risk:Reward,Current Price (₹),Target Price (₹),Stop Loss (₹),Upside (%),Risk (%),ETF,Timestamp
NTPC.NS,Power,Large Cap,BUY,76.71,3.16,346.35,384.54,334.28,11.03,3.61,No,2026-01-18 22:45:16
NESTLEIND.NS,Consumer Goods,Large Cap,BUY,75.54,2.65,1315.9,1423.88,1275.11,8.21,3.2,No,2026-01-18 22:45:16
TITAN.NS,Consumer Goods,Large Cap,BUY,75.46,3.24,4196.9,4638.43,4060.65,10.52,3.36,No,2026-01-18 22:45:16
TITAN.BO,Consumer Goods,Large Cap,BUY,74.46,3.18,4196.9,4636.55,4058.75,10.48,3.4,No,2026-01-18 22:45:16
ICICIBANK.BO,Financial Services,Large Cap,BUY,74.0,2.56,1411.65,1532.13,1364.64,8.53,3.44,No,2026-01-18 22:45:16
ICICIBANK.NS,Financial Services,Large Cap,BUY,74.0,2.83,1410.8,1526.79,1369.87,8.22,2.99,No,2026-01-18 22:45:16
COALINDIA.BO,Metals & Mining,Large Cap,BUY,73.38,2.2,431.0,471.24,412.75,9.34,4.42,No,2026-01-18 22:45:16
WIPRO.NS,Information Technology,Large Cap,BUY,73.33,4.72,267.45,311.2,258.18,16.36,3.59,No,2026-01-18 22:45:16
GRASIM.BO,Textiles,Large Cap,BUY,72.92,2.6,2808.5,3045.68,2717.38,8.44,3.35,No,2026-01-18 22:45:16
GRASIM.NS,Textiles,Large Cap,BUY,72.92,2.57,2809.6,3044.6,2718.32,8.36,3.36,No,2026-01-18 22:45:16
TATACONSUM.BO,Consumer Goods,Large Cap,BUY,72.46,3.31,1188.9,1305.64,1153.68,9.82,3.05,No,2026-01-18 22:45:16
TATACONSUM.NS,Consumer Goods,Large Cap,BUY,72.0,3.38,1189.1,1305.94,1154.5,9.83,3.0,No,2026-01-18 22:45:16
UPL.NS,Chemicals,Large Cap,BUY,71.67,2.02,790.15,856.27,757.34,8.37,4.33,No,2026-01-18 22:45:16
