symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,reason,gross_pnl,charges,net_pnl,win
RELIANCE.NS,2025-05-12,2025-08-07,87,1395.8251522288601,1382.4890518798827,71,Time Stop (63 days),-946.8631247773972,219.88803950210732,-1166.7511642795046,0
RELIANCE.NS,2025-10-27,2026-01-27,92,1464.4629999999997,1379.1195,68,Time Stop (63 days),-5803.357999999981,215.9099906535,-6019.267990653481,0
TCS.NS,2026-01-08,2026-02-26,49,3231.442590755255,2645.052251220703,30,End of Backtest,-17591.71018603656,197.77353907863,-17789.483725115188,0
HDFCBANK.NS,2025-03-27,2025-06-06,71,888.8849811883917,983.6894759805442,112,Target Hit,10618.103416721076,232.91441703452074,10385.188999686556,1
HDFCBANK.NS,2025-06-11,2025-10-24,135,971.6500517217329,993.75525,102,Time Stop (93 days),2254.7302243832496,223.22613382647978,2031.5040905567698,1
INFY.NS,2025-11-20,2026-02-19,91,1556.5549999999998,1369.1295,64,Time Stop (63 days),-11995.231999999989,209.5547798448,-12204.78677984479,0
ICICIBANK.NS,2025-03-12,2025-04-17,36,1238.6394799601067,1382.7482553477796,80,Target Hit,11528.702031013836,232.82682117490143,11295.875209838934,1
ICICIBANK.NS,2025-04-25,2025-07-24,90,1400.6027956290347,1470.569584350586,71,Time Stop (63 days),4967.641999230136,226.79128370580835,4740.850715524328,1
ICICIBANK.NS,2025-08-01,2025-11-04,95,1470.5336404579682,1335.5631243896485,68,Time Stop (63 days),-9177.995092645742,213.32257686568846,-9391.31766951143,0
ICICIBANK.NS,2026-01-12,2026-02-26,45,1401.2999244384764,1403.4951243896485,71,End of Backtest,155.85919653321707,221.9004693092351,-66.04127277601802,0
BAJFINANCE.NS,2025-03-17,2025-04-22,36,835.6037610349329,924.9754499081218,119,Target Hit,10635.23097590949,232.66862947881953,10402.56234643067,1
BAJFINANCE.NS,2025-10-29,2026-01-29,92,1073.072,934.2148743896485,93,Time Stop (63 days),-12913.712681762683,208.99280039940996,-13122.705482162093,0
