ticker,market
20MICRONS.NS,NSE
21STCENMGM.NS,NSE
360ONE.NS,NSE
3IINFOLTD.NS,NSE
3MINDIA.NS,NSE
3PLAND.NS,NSE
5PAISA.NS,NSE
63MOONS.NS,NSE
A2ZINFRA.NS,NSE
AAATECH.NS,NSE
AADHARHFC.NS,NSE
AAKASH.NS,NSE
AAREYDRUGS.NS,NSE
AARON.NS,NSE
AARTECH.NS,NSE
AARTIDRUGS.NS,NSE
AARTIIND.NS,NSE
AARTIPHARM.NS,NSE
AARTISURF.NS,NSE
AARVI.NS,NSE
AAVAS.NS,NSE
ABAN.NS,NSE
ABB.NS,NSE
ABBOTINDIA.NS,NSE
ABCAPITAL.NS,NSE
ABCOTS.NS,NSE
ABDL.NS,NSE
ABFRL.NS,NSE
ABINFRA.NS,NSE
ABLBL.NS,NSE
ABMINTLLTD.NS,NSE
ABREL.NS,NSE
ABSLAMC.NS,NSE
ACC.NS,NSE
ACCELYA.NS,NSE
ACCURACY.NS,NSE
ACE.NS,NSE
ACEINTEG.NS,NSE
ACI.NS,NSE
ACL.NS,NSE
ACMESOLAR.NS,NSE
ACUTAAS.NS,NSE
ADANIENSOL.NS,NSE
ADANIENT.NS,NSE
ADANIGREEN.NS,NSE
ADANIPORTS.NS,NSE
ADANIPOWER.NS,NSE
ADFFOODS.NS,NSE
ADL.NS,NSE
ADOR.NS,NSE
ADROITINFO.NS,NSE
ADSL.NS,NSE
ADVANCE.NS,NSE
ADVANIHOTR.NS,NSE
ADVENTHTL.NS,NSE
ADVENZYMES.NS,NSE
AEGISLOG.NS,NSE
AEGISVOPAK.NS,NSE
AEQUS.NS,NSE
AEROENTER.NS,NSE
AEROFLEX.NS,NSE
AERONEU.NS,NSE
AETHER.NS,NSE
AFCONS.NS,NSE
AFFLE.NS,NSE
AFFORDABLE.NS,NSE
AFIL.NS,NSE
AFSL.NS,NSE
AGARIND.NS,NSE
AGARWALEYE.NS,NSE
AGI.NS,NSE
AGIIL.NS,NSE
AGRITECH.NS,NSE
AGROPHOS.NS,NSE
AGSTRA.NS,NSE
AHCL.NS,NSE
AHLADA.NS,NSE
AHLEAST.NS,NSE
AHLUCONT.NS,NSE
AIAENG.NS,NSE
AIIL.NS,NSE
AIRAN.NS,NSE
AIROLAM.NS,NSE
AJANTPHARM.NS,NSE
AJAXENGG.NS,NSE
AJMERA.NS,NSE
AJOONI.NS,NSE
AKASH.NS,NSE
AKG.NS,NSE
AKI.NS,NSE
AKSHAR.NS,NSE
AKSHARCHEM.NS,NSE
AKSHOPTFBR.NS,NSE
AKUMS.NS,NSE
AKZOINDIA.NS,NSE
ALANKIT.NS,NSE
ALBERTDAVD.NS,NSE
ALEMBICLTD.NS,NSE
ALGOQUANT.NS,NSE
ALICON.NS,NSE
ALIVUS.NS,NSE
ALKALI.NS,NSE
ALKEM.NS,NSE
ALKYLAMINE.NS,NSE
ALLCARGO.NS,NSE
ALLDIGI.NS,NSE
ALLTIME.NS,NSE
ALMONDZ.NS,NSE
ALOKINDS.NS,NSE
ALPA.NS,NSE
ALPHAGEO.NS,NSE
AMANTA.NS,NSE
AMBER.NS,NSE
AMBICAAGAR.NS,NSE
AMBIKCO.NS,NSE
AMBUJACEM.NS,NSE
AMDIND.NS,NSE
AMJLAND.NS,NSE
AMNPLST.NS,NSE
AMRUTANJAN.NS,NSE
ANANDRATHI.NS,NSE
ANANTRAJ.NS,NSE
ANDHRAPAP.NS,NSE
ANDHRSUGAR.NS,NSE
ANGELONE.NS,NSE
ANIKINDS.NS,NSE
ANKITMETAL.NS,NSE
ANMOL.NS,NSE
ANSALAPI.NS,NSE
ANTELOPUS.NS,NSE
ANTGRAPHIC.NS,NSE
ANTHEM.NS,NSE
ANUHPHR.NS,NSE
ANUP.NS,NSE
ANURAS.NS,NSE
APARINDS.NS,NSE
APCL.NS,NSE
APCOTEXIND.NS,NSE
APEX.NS,NSE
APLAPOLLO.NS,NSE
APLLTD.NS,NSE
APOLLO.NS,NSE
APOLLOHOSP.NS,NSE
APOLLOPIPE.NS,NSE
APOLLOTYRE.NS,NSE
APOLSINHOT.NS,NSE
APTECHT.NS,NSE
APTUS.NS,NSE
ARCHIDPLY.NS,NSE
ARCHIES.NS,NSE
ARENTERP.NS,NSE
ARFIN.NS,NSE
ARIES.NS,NSE
ARIHANTCAP.NS,NSE
ARIHANTSUP.NS,NSE
ARISINFRA.NS,NSE
ARKADE.NS,NSE
ARMANFIN.NS,NSE
AROGRANITE.NS,NSE
